# Asendra sky orbits, format 1
# a_au|e|i_deg|node_deg|peri_deg|mean_anomaly_deg|epoch_jd|color|brightness
# Named minor planets too numerous to be catalogue objects. Osculating elements, not positions: the client works out where they are for whatever moment it is showing.
# 26316 orbits.
2.576807734440413|0.1875739662458121|5.359676823083776|141.4472085242671|359.3756335285236|181.4782047289393|2461200.5|#B9A78F|1.0
2.334622731781637|0.219704679860444|8.371535996445896|235.3456886067733|69.63348322443784|132.1351142569522|2461200.5|#B9A78F|0.975
2.472940913486363|0.1308313112574364|5.596114790339423|125.4957512952483|136.1611177388652|243.0705750386174|2461200.5|#B9A78F|0.924
2.434430742712361|0.1647703512177245|3.064452891064415|80.83855721319993|249.8802780888828|298.7726414605465|2461200.5|#B9A78F|0.96
2.628661689016325|0.2313134694258691|10.10773332538056|66.47953992678453|61.67082422213203|216.4025307348911|2461200.5|#B9A78F|0.993
2.40114332427306|0.2537701746035801|21.59941426226993|214.06371877054|90.32439007231996|142.1223943702816|2461200.5|#B9A78F|0.927
2.655079521758144|0.08870767585577567|3.554542314548987|45.68422654237695|196.120522604508|335.1035019975895|2461200.5|#B9A78F|0.96
2.346884024467284|0.1715623980860491|1.583321156588389|94.76696742244124|356.6133131742698|327.7244816373419|2461200.5|#B9A78F|0.997
2.365359113065851|0.1266409983482966|2.093694210980174|307.3953466216514|87.22809491859155|13.67314014299938|2461200.5|#B9A78F|0.953
2.589054303891871|0.08089949114768656|5.518127853633032|220.3128283574279|337.5794815878806|289.6249401373899|2461200.5|#B9A78F|0.938
2.87133496806849|0.3344915245297666|1.854194735990684|8.126765416786608|338.8138529964299|147.6094435360536|2461200.5|#B9A78F|0.878
3.00436132400982|0.2170340666686376|7.86770566253476|352.9043947467441|215.5297020075532|346.8812120591826|2461200.5|#B9A78F|0.86
2.643361553217296|0.1745520583093035|3.067489043572028|7.227158380353335|62.33002350439912|218.7162975546603|2461200.5|#B9A78F|0.976
2.742624603688025|0.1508912515933588|6.951591176760764|295.4932263035433|169.8270648327152|209.1024461649889|2461200.5|#B9A78F|0.874
2.267728985737721|0.04667460924283919|4.255009637994025|94.15160846821996|269.9317897880521|137.8878605293098|2461200.5|#B9A78F|1.0
2.444824294898606|0.2220266867918745|8.503353806348457|84.14514538470614|237.6169681639933|154.3578773888165|2461200.5|#B9A78F|0.942
2.204374883093808|0.1676991165387822|3.468667281325155|264.7390407910616|16.30999193486588|201.5447684432557|2461200.5|#B9A78F|0.923
2.422499624292143|0.1496735116405386|3.713137130620973|131.4762396518531|343.8930847472048|41.45745492537208|2461200.5|#B9A78F|1.0
2.651001572157452|0.2845060892091339|2.839166950111937|173.4474858722075|200.0973155869434|32.27864425081964|2461200.5|#B9A78F|0.797
2.618079225767605|0.2029842746728789|5.182155233840094|143.4358127112889|314.441556829901|307.5874483101154|2461200.5|#B9A78F|0.843
2.758053951177517|0.1449759889673404|7.176120975711278|10.28337587925268|4.890787361175018|200.6285326343068|2461200.5|#B9A78F|0.932
3.156183777091694|0.1078666911367274|15.22989908023177|198.8839363750295|210.9922014087566|240.3230229988899|2461200.5|#B9A78F|1.0
2.699501125498163|0.04585216458206288|5.072710338782864|161.0461895943929|33.81810959506524|152.9727683516142|2461200.5|#B9A78F|0.831
2.392965318908073|0.1843626927698913|3.600036667323514|191.5141603553946|270.9033691566357|181.2985198322722|2461200.5|#B9A78F|0.864
2.984345021241406|0.1636408930579798|18.20613258275143|333.5438212780651|12.88165233511756|48.64916964313294|2461200.5|#B9A78F|0.939
3.128789114233331|0.1678029183592395|2.237001436096142|125.1035081684732|277.8011363368901|341.1148349370408|2461200.5|#B9A78F|0.842
2.394202358351729|0.1281448673622239|5.773499312340844|337.6839381773927|295.5511288649556|111.3841108395656|2461200.5|#B9A78F|0.987
2.680404941647819|0.1266602692016389|1.305758163858374|308.9523476811692|181.1490836319968|259.7428349080275|2461200.5|#B9A78F|0.94
2.646989905083458|0.1719311463616791|3.043131315853947|7.468988512200609|43.47283344877754|255.0174194467799|2461200.5|#B9A78F|0.789
2.421169242561504|0.186183706507439|6.026379638626945|202.2244983612501|107.6780991645414|237.7590365782546|2461200.5|#B9A78F|0.886
2.754407953194864|0.1771297792196384|23.24486114067394|315.9061549897793|267.0031815464082|104.3132302944378|2461200.5|#B9A78F|0.981
2.265949724220728|0.1213305393394305|5.418060632884509|207.9253574169567|102.6782034373694|38.12231131324369|2461200.5|#B9A78F|0.827
2.664627047371454|0.04257371468638644|2.369487149120273|6.82163445723253|56.89468248154449|21.34212887112533|2461200.5|#B9A78F|0.83
2.781563681059291|0.2375007390017851|4.072941871707552|196.9758140847626|175.0231927550861|106.7162474514419|2461200.5|#B9A78F|0.842
2.671436441290842|0.3060385611924545|4.997247193597569|359.1043836225256|339.6400849238441|187.5839565792856|2461200.5|#B9A78F|0.815
2.667697014133035|0.1333978875541836|2.421051436650346|1.04719429255203|61.13316917381107|152.0852978616649|2461200.5|#B9A78F|0.868
2.444229887165463|0.1908687973286286|4.612759822794472|206.500718015384|201.3898189538187|178.9284207055777|2461200.5|#B9A78F|0.935
2.296889990218229|0.199965657857881|8.673919174292493|218.5950689232368|139.8098058156412|113.7840224380319|2461200.5|#B9A78F|0.912
2.851880316281683|0.2115947700013772|7.800515093154473|0.8928295599682529|51.22998534935714|159.6069387704557|2461200.5|#B9A78F|0.862
2.763312662004477|0.2208601774269904|2.825223571833883|25.3832783842874|110.6730230310457|14.24590467665898|2461200.5|#B9A78F|0.895
2.431224366238088|0.08320065973352339|4.96710441491621|27.6545752379435|169.8641873543615|183.9868216429383|2461200.5|#B9A78F|0.856
2.363289941901141|0.2354807479382093|9.314304690981094|327.4864830955402|15.19102274911641|93.07421225321939|2461200.5|#B9A78F|0.806
3.103495553169918|0.2180254539525134|4.819571606767777|86.04185943505466|308.7214132003216|100.2028110084058|2461200.5|#B9A78F|0.857
3.140656864146724|0.1727452854298038|2.205423425787778|69.88563760208591|244.3791532887398|244.5300509432576|2461200.5|#B9A78F|0.882
2.589433605675628|0.1081288690798316|2.102946747856676|10.35856678042594|74.08596092918276|61.90460857652717|2461200.5|#B9A78F|0.823
2.668721395933794|0.2574189691730235|11.7749761307233|159.5791795124999|268.4554010876491|179.2625162865355|2461200.5|#B9A78F|0.935
2.66281253219302|0.1978047569667596|13.86482901029714|41.39623988095554|195.3882756052248|114.0515223817403|2461200.5|#B9A78F|0.795
3.090590498342658|0.1679769610418651|6.431109110683366|127.155165502832|183.5110330383411|359.5561095661002|2461200.5|#B9A78F|0.939
2.583432489071386|0.1404314672556045|10.19255903810696|343.3555476080019|347.7309312706132|11.14007881622206|2461200.5|#B9A78F|0.884
2.663741531879857|0.2519998555997096|5.172295702322027|210.6179997580635|147.5747274168146|120.4341952431074|2461200.5|#B9A78F|0.797
2.701355668748028|0.08161513369297455|5.427270748828234|135.9540269353237|190.4199362713803|209.9529846897666|2461200.5|#B9A78F|0.938
2.372183967632048|0.1790867111917403|21.45696649108066|188.2142127163805|56.91289099761361|147.4923237452793|2461200.5|#B9A78F|0.854
3.233068743008539|0.06353809589498664|4.209222019833494|349.7186453955986|213.3525447913159|46.87726856770145|2461200.5|#8E8375|0.919
2.692600921629714|0.3004348145409879|7.84640184723433|2.715139222711832|57.56218062415228|111.4249507858428|2461200.5|#B9A78F|0.835
2.732237648054246|0.07894708244416797|5.959691215936457|56.76090614568245|282.2004556812948|55.15422146401271|2461200.5|#B9A78F|0.931
2.433476306929781|0.127779180563683|2.597079673040794|323.347832097985|16.83456325501809|24.44416301328349|2461200.5|#B9A78F|0.769
