# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Named minor planets too numerous to be catalogue objects. Positions are a snapshot for 2026-09-08.
# 26316 points.
1.67628|-7.88975|2.026249e-05|#B9A78F|0.76
1.91173|10.11163|3.208138e-05|#B9A78F|0.803
10.24521|13.00364|5.734408e-05|#B9A78F|0.788
23.30662|15.32816|2.570613e-05|#B9A78F|0.807
6.36769|32.74697|3.984633e-05|#B9A78F|0.857
15.41107|-29.63102|4.075995e-05|#B9A78F|0.884
16.80577|-25.72764|4.100632e-05|#B9A78F|0.866
9.37692|-1.58242|6.476178e-05|#B9A78F|0.882
10.79529|7.82092|6.498422e-05|#B9A78F|0.782
14.71129|-16.17013|4.339472e-05|#B9A78F|0.792
6.39104|22.7643|4.840669e-05|#B9A78F|0.895
11.41437|3.35375|5.322805e-05|#B9A78F|0.724
5.49804|3.64414|3.95823e-05|#B9A78F|0.912
19.12433|-23.41244|2.923504e-05|#B9A78F|0.827
4.75441|-10.83197|2.250521e-05|#B9A78F|0.794
13.77436|-11.93791|5.825486e-05|#B9A78F|0.886
11.18473|10.59439|5.86132e-05|#B9A78F|0.828
3.13441|25.52938|3.186216e-05|#B9A78F|0.807
13.35022|-7.6529|5.186726e-05|#B9A78F|0.803
1.44055|0.08566|2.79415e-05|#B9A78F|0.826
0.59941|7.77907|1.372468e-05|#B9A78F|0.982
13.23991|-15.32393|6.075298e-05|#B9A78F|0.769
16.31075|-28.44567|4.63357e-05|#B9A78F|0.815
7.12996|23.41504|5.17587e-05|#B9A78F|0.787
22.91356|13.85174|1.464442e-05|#B9A78F|0.873
17.61367|-29.31824|3.556514e-05|#B9A78F|0.873
11.07001|6.58843|6.589705e-05|#B9A78F|0.871
7.76735|16.58825|5.268262e-05|#B9A78F|0.944
14.31463|-10.14745|4.32856e-05|#B9A78F|0.836
17.87683|-11.22522|3.775166e-05|#B9A78F|0.798
10.88217|7.90259|5.866024e-05|#B9A78F|0.84
13.98402|-13.38468|4.40557e-05|#B9A78F|0.729
