# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (1, -1, 3), generated 2026-09-08.
# 126 points.
4.763876|-2.908647|318.5895|#EEEEFF|0.828|gaia-3225790442417135872|HD 30257
4.784891|-0.490193|320.6117|#FFBC86|0.12|gaia-3229751982811860864|Gaia DR3 3229751982811860864
4.638727|-5.962353|322.0142|#FFB077|0.12|gaia-3200171374811395072|2MASS J04381935-0557450
4.745186|-2.429057|322.8296|#FFC48F|0.279|gaia-3226039447440920576|LP 596-3
4.633121|-0.279709|324.2321|#FFB47C|0.12|gaia-3230368911914013568|Gaia DR3 3230368911914013568
4.746181|-9.0957|324.493|#FFE4C3|0.766|gaia-3185118476512916352|HD 30156
4.702164|-10.809704|324.9822|#FFBB84|0.207|gaia-3184277040879907584|Gaia DR3 3184277040879907584
4.692982|-1.865693|325.3084|#FFB47C|0.12|gaia-3229114639729058176|2MASS J04413466-0151559
4.616071|-9.212043|325.4714|#FFBF89|0.229|gaia-3185629508902945792|Gaia DR3 3185629508902945792
4.675621|-0.169121|325.5367|#FFC18C|0.216|gaia-3229635022262275840|Gaia DR3 3229635022262275840
4.624355|-0.640733|326.3195|#FFDDB4|0.489|gaia-3230255352978595328|Gaia DR3 3230255352978595328
4.638417|-3.037537|326.3195|#FFDEB6|0.12|gaia-3201917944737614336|Gaia DR3 3201917944737614336
4.746873|-7.062836|326.7761|#FFBC86|0.158|gaia-3187765344598385920|Gaia DR3 3187765344598385920
4.730381|-7.727621|327.1022|#FFBB84|0.12|gaia-3187705283775884032|Gaia DR3 3187705283775884032
4.628294|-5.456835|327.2001|#FFCC9A|0.396|gaia-3200978691225767552|Gaia DR3 3200978691225767552
4.690877|-8.489049|327.3958|#FFB179|0.12|gaia-3185872874633052032|Gaia DR3 3185872874633052032
4.56198|-2.377676|327.4284|#FFBA83|0.186|gaia-3205212051509425024|Gaia DR3 3205212051509425024
4.692984|-1.864577|327.6893|#FFBA83|0.12|gaia-3229114644024979200|Gaia DR3 3229114644024979200
4.640605|-0.396477|327.7545|#FFC590|0.344|gaia-3230354583901944192|Gaia DR3 3230354583901944192
4.605058|-0.211521|327.9176|#FFBA84|0.142|gaia-3230329432574381568|Gaia DR3 3230329432574381568
4.70992|-1.69708|328.0155|#DAE2FF|0.12|gaia-3229144223463637888|Gaia DR3 3229144223463637888
4.565479|-10.569989|328.1133|#FFBE89|0.164|gaia-3179188775945755776|Gaia DR3 3179188775945755776
4.611772|-4.953167|328.3742|#FFB47C|0.12|gaia-3201149390406026624|Gaia DR3 3201149390406026624
4.688554|-6.524227|328.3742|#D8D4C8|0.311|gaia-3199913539335924992|Gaia DR3 3199913539335924992
4.566333|-2.688152|329.4506|#FFB279|0.12|gaia-3205167413914497024|Gaia DR3 3205167413914497024
4.678461|-5.368546|329.7767|#FFB780|0.12|gaia-3200312627697118336|Gaia DR3 3200312627697118336
4.438875|-4.972913|330.0376|#FFBD87|0.12|gaia-3202788830962501120|Gaia DR3 3202788830962501120
4.779554|-7.063575|331.0161|#FFBD87|0.126|gaia-3187846880257619840|Gaia DR3 3187846880257619840
4.793283|-13.529303|331.2444|#FFE4C4|0.12|gaia-3173892153555574400|Gaia DR3 3173892153555574400
4.67817|-7.024942|331.8967|#FFB37B|0.12|gaia-3199813346337986816|Gaia DR3 3199813346337986816
4.71954|-7.335802|331.9946|#FFB179|0.12|gaia-3187777336147134336|Gaia DR3 3187777336147134336
4.730635|-11.278665|332.5164|#FFAE75|0.12|gaia-3184190690561133568|Gaia DR3 3184190690561133568
4.726725|-0.567308|333.0383|#FFBA83|0.295|gaia-3229551253220231808|Gaia DR3 3229551253220231808
4.568497|-2.103006|333.7884|#FFAB72|0.12|gaia-3205272799528077568|Gaia DR3 3205272799528077568
4.699436|-7.896807|334.2124|#D8D4C8|0.12|gaia-3186208985888027904|Gaia DR3 3186208985888027904
4.495951|-8.405848|334.3103|#FFEFDC|0.12|gaia-3197884008374276480|Gaia DR3 3197884008374276480
4.750436|-12.418017|335.3214|#FFB67E|0.12|gaia-3180958195095813760|Gaia DR3 3180958195095813760
4.729433|-2.830774|335.778|#FFB37B|0.12|gaia-3225990003776116992|Gaia DR3 3225990003776116992
4.394212|-3.219507|336.0389|#FFB179|0.12|gaia-3205461743729285504|Gaia DR3 3205461743729285504
4.375489|-4.041901|336.3325|#FFE0BA|0.12|gaia-3203146889499938176|Gaia DR3 3203146889499938176
4.349496|-1.862204|336.3651|#FFBD87|0.182|gaia-3253895574529432448|Gaia DR3 3253895574529432448
