# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-1, -3, 1), generated 2026-09-08.
# 1800 points.
7.229524|-62.176988|226.8091|#FFB57E|0.12|gaia-5286090927233038976|Gaia DR3 5286090927233038976
6.555461|-61.871544|226.8744|#FFC793|0.301|gaia-5478313425513965056|L 134-37 A
6.555516|-61.871394|227.1027|#D8D4C8|0.12|gaia-5478313425515945344|L 134-37 B
6.341363|-61.512785|229.9076|#FFCC9B|0.393|gaia-5481468435475904256|UCAC4 143-007406
6.593185|-62.56815|230.4947|#FFAE75|0.12|gaia-5477423302133984384|2MASS J06353541-6234059
7.30228|-61.927358|231.6363|#FFAF76|0.12|gaia-5292107862880597248|Gaia DR3 5292107862880597248
6.399188|-62.967261|231.832|#FFE2BE|0.546|gaia-5478083043470435328|TYC 8898-696-1
7.649968|-59.946474|232.5495|#FFBC86|0.219|gaia-5292740258162263936|2MASS J07390005-5956471
7.520867|-59.711133|233.691|#FFBE88|0.218|gaia-5293500875393119488|Gaia DR3 5293500875393119488
7.532984|-61.679585|233.691|#FFB57D|0.12|gaia-5291985164255857152|Gaia DR3 5291985164255857152
7.743059|-61.366414|234.5717|#FFBB84|0.123|gaia-5289416193993490048|Gaia DR3 5289416193993490048
6.501008|-58.841698|235.0609|#FFC490|0.298|gaia-5482817093862730112|Gaia DR3 5482817093862730112
7.072883|-58.302731|235.3218|#FFDCB2|0.537|gaia-5480782103999317248|CD-58 1624
7.408496|-61.500841|235.3544|#FFB983|0.12|gaia-5292222388185182080|Gaia DR3 5292222388185182080
7.054508|-61.713517|235.4523|#FFC08A|0.261|gaia-5287054030699816832|2MASS J07031640-6142496
6.854368|-59.213239|235.4849|#FFE1BC|0.509|gaia-5480299280955521152|TYC 8548-810-1
6.794374|-60.243116|235.5828|#FFC08B|0.231|gaia-5479997671171467776|SCR J0647-6014
8.063924|-59.293706|236.1046|#FFB67F|0.12|gaia-5291462694371350528|Gaia DR3 5291462694371350528
7.91441|-58.161095|236.3981|#FFBF8A|0.229|gaia-5294459310233576064|Gaia DR3 5294459310233576064
7.799814|-60.327233|236.5612|#FFBA84|0.143|gaia-5293982878101587072|Gaia DR3 5293982878101587072
7.782915|-60.378111|236.6917|#FFBC85|0.239|gaia-5292484243751725824|UCAC4 149-011395
7.800202|-60.327029|236.9526|#FFB982|0.12|gaia-5293982878101586560|Gaia DR3 5293982878101586560
6.344841|-57.773819|238.5508|#FFB881|0.12|gaia-5495271158991529600|Gaia DR3 5495271158991529600
7.676293|-57.204996|238.8117|#FFD0A0|0.421|gaia-5295490682201506304|UCAC2 6732407
