# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-4, 0, -2), generated 2026-09-08.
# 145 points.
13.269028|0.849528|318.9157|#FFB179|0.12|gaia-3688174282061570816|Gaia DR3 3688174282061570816
13.341095|1.349172|320.7422|#FFC894|0.335|gaia-3688126114004162816|UCAC4 457-051397
13.378736|2.033059|321.5576|#FFB882|0.12|gaia-3712196931796849152|Gaia DR3 3712196931796849152
13.257589|3.099051|321.949|#FFBD87|0.142|gaia-3715755913497065088|Gaia DR3 3715755913497065088
13.218559|2.57242|322.3077|#FFE5C5|0.53|gaia-3691691757198083712|TYC 302-107-1
13.423257|1.889224|322.3077|#FFE5C4|0.12|gaia-3712158036572546432|Gaia DR3 3712158036572546432
13.379886|7.386332|323.6776|#FFBC86|0.142|gaia-3719198140806274432|Gaia DR3 3719198140806274432
13.247119|5.916803|324.4604|#FFBF89|0.12|gaia-3717523653316694016|Gaia DR3 3717523653316694016
13.234918|4.872322|324.5908|#FFCF9F|0.12|gaia-3716831682545192832|Gaia DR3 3716831682545192832
13.247753|8.358854|325.8302|#FFF2E3|0.638|gaia-3731597741453758336|TYC 884-458-1
13.213365|9.908688|326.0585|#FFE4C3|0.543|gaia-3732801848421258624|Gaia DR3 3732801848421258624
13.379545|5.728757|326.189|#FFB881|0.121|gaia-3717335568108786944|Gaia DR3 3717335568108786944
13.376602|10.133221|326.613|#FFDAAF|0.47|gaia-3732307613648424448|Gaia DR3 3732307613648424448
13.215764|7.242524|327.1675|#FFCD9C|0.396|gaia-3729966860767805952|Gaia DR3 3729966860767805952
13.320747|0.159698|327.8198|#FFBC86|0.17|gaia-3687888310254647168|Gaia DR3 3687888310254647168
13.353156|2.797894|328.0155|#FFC08A|0.16|gaia-3712510120812385280|Gaia DR3 3712510120812385280
13.235592|4.40832|328.6026|#FFC08B|0.24|gaia-3716710667547218560|Gaia DR3 3716710667547218560
13.447375|5.165303|328.6352|#FFEDD5|0.592|gaia-3716309723759918464|Gaia DR3 3716309723759918464
13.184639|4.214473|329.3853|#F8F2F6|0.12|gaia-3716690360941084160|Gaia DR3 3716690360941084160
13.345754|3.628662|329.6463|#FFB77F|0.12|gaia-3715696569933607808|Gaia DR3 3715696569933607808
13.4246|10.200205|330.2986|#FFB67F|0.12|gaia-3732273326925255936|Gaia DR3 3732273326925255936
13.337455|7.772948|330.3638|#FFBB84|0.12|gaia-3731282048473502720|Gaia DR3 3731282048473502720
13.411499|7.073788|330.5595|#FFC08A|0.138|gaia-3718983491225657216|Gaia DR3 3718983491225657216
13.252495|9.620521|331.0161|#AAC1FF|0.124|gaia-3732584969752521984|Gaia DR3 3732584969752521984
13.485171|6.461459|331.114|#FFEDD6|0.608|gaia-3718217342074415616|Gaia DR3 3718217342074415616
13.239552|13.578017|331.4727|#FFB780|0.12|gaia-3743629250520219904|Gaia DR3 3743629250520219904
13.211813|8.024745|331.538|#FFB37B|0.12|gaia-3730091071222005248|Gaia DR3 3730091071222005248
13.542397|9.034051|331.538|#FFB780|0.12|gaia-3719880623994402432|Gaia DR3 3719880623994402432
13.295132|0.14544|331.5706|#FFF1E0|0.12|gaia-3687527223763694720|Gaia DR3 3687527223763694720
13.404491|2.998023|331.6684|#FFEED8|0.641|gaia-3712596363755547904|Gaia DR3 3712596363755547904
13.443072|5.067751|332.6469|#F9F2F5|0.12|gaia-3716300103033172608|Gaia DR3 3716300103033172608
13.646157|1.777204|333.5275|#FFB078|0.12|gaia-3663630433751059712|Gaia DR3 3663630433751059712
13.477234|2.696028|333.7884|#FFB37B|0.12|gaia-3712725311558006144|Gaia DR3 3712725311558006144
13.387076|8.580107|334.6038|#FFEFDA|0.12|gaia-3731438831959205760|Gaia DR3 3731438831959205760
13.474457|7.247617|335.4518|#FFB178|0.12|gaia-3719050943687026048|Gaia DR3 3719050943687026048
13.363079|16.246142|336.3651|#EFEEFF|0.12|gaia-3744460000274429312|Gaia DR3 3744460000274429312
13.371516|1.360385|336.3651|#FBF3F0|0.12|gaia-3688140265921005824|Gaia DR3 3688140265921005824
13.653825|5.279442|336.5608|#FFDDB4|0.508|gaia-3714994948371203328|Gaia DR3 3714994948371203328
13.420102|12.505986|336.8217|#FFC793|0.12|gaia-3739576966058043264|2MASS J13251249+1230219
13.697498|6.736247|337.6045|#FFB279|0.12|gaia-3715437501800976512|Gaia DR3 3715437501800976512
13.514655|9.91544|339.5288|#FFBB84|0.12|gaia-3738000232022400768|Gaia DR3 3738000232022400768
13.549561|11.149068|339.5614|#FFB179|0.12|gaia-3738260541400543616|Gaia DR3 3738260541400543616
13.432936|2.250149|339.8223|#FFBF8A|0.12|gaia-3712306814239879296|Gaia DR3 3712306814239879296
13.785438|8.896579|340.2463|#FFF0DF|0.12|gaia-3725073411253603456|Gaia DR3 3725073411253603456
13.297873|2.959156|341.29|#FFB077|0.12|gaia-3715553805220311552|Gaia DR3 3715553805220311552
13.485715|11.276365|341.4857|#FFB780|0.12|gaia-3738483437318709760|Gaia DR3 3738483437318709760
13.324399|10.830293|341.551|#FFDEB7|0.12|gaia-3733156543999287680|Gaia DR3 3733156543999287680
13.1758|4.620484|341.8771|#FFBD87|0.12|gaia-3716906891717655424|Gaia DR3 3716906891717655424
13.374955|7.070553|342.0402|#FFF2E4|0.12|gaia-3719170442561441408|Gaia DR3 3719170442561441408
13.773423|7.548746|342.562|#FFB37C|0.12|gaia-3721546285325560832|Gaia DR3 3721546285325560832
13.465212|6.449763|342.6925|#FFEFDA|0.12|gaia-3718231700149918208|Gaia DR3 3718231700149918208
13.32565|11.357703|343.0187|#FFEAD0|0.12|gaia-3733397057874942976|Gaia DR3 3733397057874942976
13.367403|5.80285|343.0187|#FFBE88|0.12|gaia-3717328490002661760|Gaia DR3 3717328490002661760
13.542308|2.618474|343.247|#FFB57E|0.12|gaia-3711924145538728832|Gaia DR3 3711924145538728832
13.488149|6.027849|343.6057|#FFBA84|0.12|gaia-3718053957223639808|Gaia DR3 3718053957223639808
13.470484|13.332687|345.2039|#F5F1FD|0.12|gaia-3740023986252799872|Gaia DR3 3740023986252799872
13.67966|14.565024|345.4322|#FFF3E5|0.706|gaia-3741557500031565056|Gaia DR3 3741557500031565056
13.261919|3.648748|346.0519|#FFBC86|0.12|gaia-3715858095063602560|Gaia DR3 3715858095063602560
13.606178|7.539932|346.6064|#FFB47D|0.12|gaia-3718722498947911680|Gaia DR3 3718722498947911680
13.591079|5.946953|347.1935|#FFB780|0.12|gaia-3717908959127059840|Gaia DR3 3717908959127059840
13.399252|12.053385|347.4218|#FFE9CC|0.12|gaia-3739443169235161728|Gaia DR3 3739443169235161728
13.885241|1.869799|347.4544|#FFB27A|0.12|gaia-3664161222989281152|Gaia DR3 3664161222989281152
13.454074|9.567169|347.911|#FFB780|0.12|gaia-3731970853852974848|Gaia DR3 3731970853852974848
13.592113|6.378394|348.1067|#FFB882|0.12|gaia-3718312754772867328|Gaia DR3 3718312754772867328
13.618732|0.355517|348.8242|#FFB780|0.12|gaia-3663010618430294784|Gaia DR3 3663010618430294784
13.209987|14.752923|348.8895|#FFCE9D|0.12|gaia-3744060297733683072|Gaia DR3 3744060297733683072
13.591796|4.532407|349.3135|#FFB27A|0.12|gaia-3714476867940594816|Gaia DR3 3714476867940594816
13.574541|9.566983|349.9332|#D8D4C8|0.3|gaia-3725933027483147648|Gaia DR3 3725933027483147648
13.781117|14.610587|349.9658|#FFC28D|0.12|gaia-3741226783255597440|Gaia DR3 3741226783255597440
13.610558|11.175287|350.9769|#FFB780|0.12|gaia-3738563770386116480|Gaia DR3 3738563770386116480
13.836321|8.187987|351.14|#FFC995|0.12|gaia-3721960629411382528|Gaia DR3 3721960629411382528
13.270478|9.67098|351.5966|#FFB37C|0.12|gaia-3732605203343249920|Gaia DR3 3732605203343249920
13.576124|14.589724|352.2489|#FFE2BE|0.12|gaia-3741710740174219392|Gaia DR3 3741710740174219392
13.50858|14.987594|352.5424|#FFDFB9|0.163|gaia-3744796966228329216|Gaia DR3 3744796966228329216
13.559737|15.420643|352.575|#FFBD87|0.201|gaia-3744899259465549824|Gaia DR3 3744899259465549824
13.404626|14.345016|352.9012|#FFCB98|0.12|gaia-3743193053642917888|Gaia DR3 3743193053642917888
14.018932|1.963478|353.1295|#FFD8AC|0.12|gaia-3664385729519620480|Gaia DR3 3664385729519620480
13.541373|6.609541|353.684|#FFECD4|0.12|gaia-3718191636694523776|Gaia DR3 3718191636694523776
13.653602|6.217697|353.7492|#FFBA83|0.12|gaia-3715303494528389120|Gaia DR3 3715303494528389120
