# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (0, -3, 0), generated 2026-09-08.
# 2029 points.
0.739811|-85.891551|200.8471|#FCF3EE|0.676|gaia-4616320258076767744|HD 4863
0.043829|-84.28111|201.6951|#FFECD3|0.12|gaia-4617685129963195264|Gaia DR3 4617685129963195264
5.326568|-83.424328|202.5431|#FFC08A|0.243|gaia-4614969851639215488|SCR J0519-8325
5.971402|-81.39269|202.5757|#FFE7C8|0.12|gaia-4621435216232408064|Gaia DR3 4621435216232408064
1.981874|-82.262559|202.7062|#D8D4C8|0.3|gaia-4618313569577229312|Gaia DR3 4618313569577229312
5.9451|-81.384882|203.1628|#FFEBD1|0.557|gaia-4621435804645024256|CD-81 190
4.801526|-80.779061|203.7499|#FBF3F0|0.689|gaia-4622453093418397952|HD 32195
5.698392|-80.228236|203.7825|#FFBD87|0.156|gaia-4623057618655639680|SCR J0541-8013
3.393943|-81.258327|203.9782|#FFD5A8|0.426|gaia-4619335325118472576|L 12-19
2.084564|-79.241494|204.337|#FFAB71|0.12|gaia-4632446653385776000|2MASS J02050451-7914303
0.756965|-77.868948|204.6305|#D8D4C8|0.299|gaia-4635916819458966144|L 26-86 B
2.580246|-82.073802|204.8588|#FFBF8A|0.243|gaia-4619609584550076928|L 12-65
3.948481|-80.296594|204.9893|#FFB178|0.12|gaia-4625305535818621056|2MASS J03565408-8017495
2.306544|-80.834345|205.1524|#FFAC73|0.12|gaia-4619969257995604736|Gaia DR3 4619969257995604736
5.156443|-87.297796|205.2502|#FFB67F|0.12|gaia-4612462518451692672|Gaia DR3 4612462518451692672
1.796112|-80.176564|206.1961|#F2F0FF|0.848|gaia-4632255789335833856|* tau02 Hyi
3.623945|-81.018107|206.3265|#FFEACF|0.576|gaia-4619245646199762944|HD 23960
4.153255|-81.095212|206.3591|#FFCD9C|0.412|gaia-4622187969380629248|UCAC2 241518
2.111791|-80.683281|206.4896|#FFB077|0.12|gaia-4631981491247694336|Gaia DR3 4631981491247694336
3.334626|-84.37986|206.8158|#FFB67E|0.12|gaia-4615376292984949760|Gaia DR3 4615376292984949760
3.387303|-82.176887|206.8158|#FFBC86|0.167|gaia-4619079551226317952|SIPS J0323-8210
