# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-1, 2, 1), generated 2026-09-08.
# 1790 points.
7.125466|62.253641|227.7224|#FFB881|0.12|gaia-1099124088583874176|Gaia DR3 1099124088583874176
7.271904|61.422908|228.603|#FFB27A|0.12|gaia-1087039111468055808|Gaia DR3 1087039111468055808
6.119714|61.465094|230.4947|#FFB67F|0.12|gaia-1006281017497745024|Gaia DR3 1006281017497745024
6.120368|61.464547|231.4732|#FFDFB9|0.506|gaia-1006281017498259200|TYC 4095-657-1
6.891777|60.756793|233.1692|#FFBE89|0.197|gaia-1003750182246496640|LSPM J0653+6045E
6.045304|61.505415|233.7889|#FFBD87|0.176|gaia-1005964736105548800|Gaia DR3 1005964736105548800
6.077363|62.002504|233.952|#FFC996|0.334|gaia-1006379148910120576|Gaia DR3 1006379148910120576
6.757696|64.170591|234.4086|#FFC38E|0.251|gaia-1100508889119622272|Gaia DR3 1100508889119622272
6.937958|59.852352|234.4738|#FFB179|0.12|gaia-1002583767913182336|2MASS J06561665+5951087
6.97781|60.823694|234.5064|#FFBE88|0.221|gaia-1003013543816893568|Gaia DR3 1003013543816893568
6.891644|60.757627|234.9631|#FFDCB3|0.48|gaia-1003750182247799424|LSPM J0653+6045W
6.461016|63.225624|235.4523|#FFB37B|0.12|gaia-1007416228893593344|Gaia DR3 1007416228893593344
7.435352|60.41302|235.7458|#FFF4E7|0.658|gaia-1086691841888386688|HD 57698
6.770332|59.44316|235.9089|#EFEEFF|0.778|gaia-1001751476266970624|* 12 Lyn C
6.969547|60.789486|236.0068|#FBF3F0|0.743|gaia-1003011825829983360|HD 50688
6.811655|63.366019|236.2677|#E1E6FF|0.12|gaia-1100331141895920640|GALEX J064841.9+632158
6.775018|59.749516|237.0831|#FFE5C4|0.597|gaia-1003263751431957760|BD+59 1017
6.957607|62.698132|237.344|#FFC28D|0.243|gaia-1100051904598431744|Gaia DR3 1100051904598431744
8.024752|57.989597|237.344|#FFCB99|0.376|gaia-1081880860041437056|LSPM J0801+5759E
7.344125|58.925129|237.5071|#FFBC86|0.198|gaia-990452379383543552|Gaia DR3 990452379383543552
8.161856|59.462603|237.8658|#FFB37B|0.12|gaia-1083575134444785920|Gaia DR3 1083575134444785920
8.024617|57.989745|238.2246|#FFBE88|0.204|gaia-1081880860041449600|LSPM J0801+5759W
6.770645|59.441838|238.2898|#DEE4FF|0.869|gaia-1001751476266970496|* 12 Lyn B
7.117135|57.875929|238.3877|#FFCD9C|0.405|gaia-990078128817514624|RX J0707.0+5752A
6.635299|57.270634|238.4529|#FFB983|0.12|gaia-1001260372526878080|Gaia DR3 1001260372526878080
7.173651|59.952742|238.616|#FFB881|0.12|gaia-1002763920317092096|Gaia DR3 1002763920317092096
7.609129|61.282252|238.616|#FFBC86|0.147|gaia-1086459501337422080|Gaia DR3 1086459501337422080
7.446295|58.365561|238.6486|#FFBB84|0.14|gaia-989636885353522048|Gaia DR3 989636885353522048
6.774882|59.750281|238.8117|#FFC894|0.343|gaia-1003263751431957888|BD+59 1017B
7.713577|58.310142|238.9748|#FFB77F|0.12|gaia-1082511189441900288|Gaia DR3 1082511189441900288
7.979472|58.29172|239.3988|#FFB27A|0.12|gaia-1081947444918557312|LP 89-39
6.249208|61.865641|239.8228|#FFB67F|0.12|gaia-1006166255971591680|LP 86-246
7.380984|59.739179|240.4751|#FFC38E|0.277|gaia-1086576668045512576|Gaia DR3 1086576668045512576
6.637408|58.501198|240.6708|#FFF1E1|0.589|gaia-1001417465250727296|TYC 3777-1766-1
6.638845|64.732857|241.5188|#FFDDB3|0.49|gaia-1103551134714798080|TYC 4105-1903-1
6.180747|61.789083|241.584|#FFC08A|0.235|gaia-1006127635625196800|Gaia DR3 1006127635625196800
6.934993|61.333893|241.7145|#FFBC86|0.178|gaia-1003132458574808064|Gaia DR3 1003132458574808064
6.739694|65.04186|242.2037|#FFB780|0.12|gaia-1100946666546265216|LSPM J0644+6502
7.111336|59.828679|242.3016|#FFB179|0.12|gaia-1002680941547777408|Gaia DR3 1002680941547777408
7.254937|55.891284|242.3016|#FFC996|0.369|gaia-988177283667650560|LP 122-40
7.371439|59.902068|242.4973|#E7EAFF|0.846|gaia-1086605152268620160|* 47 Cam
6.666519|60.248671|242.6603|#FFBC85|0.139|gaia-1003531619951674496|Gaia DR3 1003531619951674496
8.339372|55.698463|242.8234|#FFB780|0.12|gaia-1032447332652357888|Gaia DR3 1032447332652357888
6.934906|61.334185|242.8887|#FFBE88|0.205|gaia-1003132462869636480|Gaia DR3 1003132462869636480
6.036488|61.121346|243.0517|#FFB179|0.12|gaia-1005941027887065472|Gaia DR3 1005941027887065472
7.374366|59.916432|243.0517|#FFCA96|0.361|gaia-1086605908182861696|UCAC4 750-042744
6.878477|64.874431|243.2148|#FFBB85|0.154|gaia-1100894852060828160|Gaia DR3 1100894852060828160
6.219641|57.104134|243.3453|#FFC18C|0.3|gaia-998838869964428032|Gaia DR3 998838869964428032
6.265153|61.919354|243.3453|#FFC38E|0.278|gaia-1006188418002805248|Gaia DR3 1006188418002805248
6.689208|59.63794|243.5736|#FFBB85|0.167|gaia-1001965571796652160|Gaia DR3 1001965571796652160
8.155214|57.167548|243.6388|#FFBE88|0.12|gaia-1081604672168712704|Gaia DR3 1081604672168712704
6.077362|61.760302|243.7693|#FFCD9B|0.357|gaia-1006346331063004672|PM J06046+6145B
6.961987|62.022647|243.8019|#FFE9CC|0.12|gaia-1099254857452068864|Gaia DR3 1099254857452068864
6.646561|65.032548|243.9976|#FFD0A0|0.425|gaia-1103585597532337920|Gaia DR3 1103585597532337920
7.20378|56.778758|244.0302|#FFB881|0.12|gaia-989949868210326016|Gaia DR3 989949868210326016
6.334173|55.115207|244.0628|#FFBF8A|0.205|gaia-996340057990468480|Gaia DR3 996340057990468480
7.840162|61.073915|244.1933|#FFBC86|0.12|gaia-1084661555012868608|Gaia DR3 1084661555012868608
7.20361|56.779612|244.3564|#FFC08A|0.215|gaia-989949868210326144|Gaia DR3 989949868210326144
7.388115|59.605682|244.9434|#FFB47C|0.12|gaia-1086527976000456064|Gaia DR3 1086527976000456064
8.313817|56.742125|244.9761|#FFC08A|0.24|gaia-1034789429858998400|UCAC4 734-048173
6.770581|59.441632|245.0087|#D7DFFF|0.914|gaia-1001751471970061184|* 12 Lyn A
6.777149|57.768053|245.2044|#F9F2F4|0.756|gaia-1001507728282774912|HD 48389
8.219281|58.979158|245.237|#FFB27A|0.12|gaia-1083315653996011008|Gaia DR3 1083315653996011008
6.812231|56.916723|245.4001|#FFBF89|0.196|gaia-1000325993800738176|Gaia DR3 1000325993800738176
6.745483|55.295377|245.5305|#FDF3EC|0.68|gaia-994878978838212992|HD 237539
7.371373|59.90236|245.6284|#D8D4C8|0.567|gaia-1086605152267456128|* 47 Cam B
6.352884|62.002369|245.8241|#FFB67E|0.12|gaia-1006932993532322688|Gaia DR3 1006932993532322688
8.312692|58.318609|245.9545|#FFBB85|0.201|gaia-1035232533044918016|UCAC4 742-047163
7.264685|58.018025|245.9871|#FFC490|0.178|gaia-989945504523396480|LP 88-63
7.478506|63.874907|246.0524|#F7F2F8|0.76|gaia-1089194055475957504|HD 58183
7.455876|56.11911|246.2481|#FFC48F|0.264|gaia-988784523322920064|Gaia DR3 988784523322920064
6.656342|54.731317|246.4764|#FFC08A|0.23|gaia-994436631565086848|UCAC4 724-043637
8.257364|54.523534|246.4764|#FFBF8A|0.2|gaia-1033016020682107264|Gaia DR3 1033016020682107264
6.077341|61.760318|246.6068|#FFCD9C|0.422|gaia-1006346335358487168|PM J06046+6145A
6.329478|62.793025|246.6721|#FFB983|0.129|gaia-1007072700229320832|Gaia DR3 1007072700229320832
6.03296|57.066395|246.7047|#FFC591|0.305|gaia-997538697464578816|Gaia DR3 997538697464578816
6.739165|55.86762|246.7373|#FBF3F1|0.701|gaia-994929590732667520|HD 47954
6.504637|60.78224|247.0635|#FFCB99|0.23|gaia-1005125636933905408|HD 45205B
6.504438|60.783023|247.0961|#FDF3ED|0.699|gaia-1005125636933905792|HD 45205
7.056186|63.753312|247.0961|#FFBC86|0.211|gaia-1099836469038639104|UCAC4 769-035136
6.676383|65.7262|247.1939|#FFB983|0.129|gaia-1104006710485386368|Gaia DR3 1104006710485386368
6.097066|65.347966|247.2591|#FFC894|0.348|gaia-1008689291559635072|Gaia DR3 1008689291559635072
6.191847|61.690478|247.2918|#FFB57E|0.12|gaia-1006125780199328768|Gaia DR3 1006125780199328768
6.012015|60.509936|247.4875|#FFAB72|0.12|gaia-1005805096465329920|2MASS J06004330+6030370
8.29898|56.737735|247.5853|#D8D4C8|0.12|gaia-1034799669059935104|Gaia DR3 1034799669059935104
8.37924|58.091555|247.6505|#FFCA98|0.38|gaia-1034982291070306048|GPM 125.688280+58.093001
6.334182|55.115403|247.7158|#FFBF89|0.207|gaia-996340057992065152|Gaia DR3 996340057992065152
6.190778|59.429586|248.0093|#FFB27A|0.12|gaia-999498916243099776|Gaia DR3 999498916243099776
6.061769|66.061273|248.0419|#FFBD87|0.234|gaia-1008785155229786496|Gaia DR3 1008785155229786496
6.009789|54.195505|248.0745|#FFC18B|0.178|gaia-972775599663029888|Gaia DR3 972775599663029888
6.868891|59.244989|248.1398|#FFC48F|0.255|gaia-1002437674601323392|Gaia DR3 1002437674601323392
7.540816|54.457958|248.1724|#FFDAB0|0.463|gaia-985531377654606208|TYC 3785-1624-1
6.19483|56.840301|248.3029|#FFC18C|0.248|gaia-998782004597413120|UCAC4 735-044141
6.5674|62.640086|248.4007|#FFD8AC|0.459|gaia-1007152066927671168|TYC 4100-1769-1
7.378135|64.27024|248.4007|#FFC28D|0.264|gaia-1089261881599455488|LSPM J0722+6416
8.848407|54.742002|248.4007|#FFBD86|0.155|gaia-1030081011831318784|Gaia DR3 1030081011831318784
8.252724|53.65342|248.5964|#DDE4FF|0.12|gaia-1031832946170531456|GALEX J081509.7+533913
8.859438|54.433439|248.5964|#DFE5FF|0.12|gaia-1029968414968983424|GALEX J085133.9+542600
6.935316|63.298042|248.7921|#FFEED8|0.59|gaia-1100175462217528064|TYC 4114-1744-1
6.147598|65.874744|248.8573|#FFBB85|0.162|gaia-1104794918587191040|Gaia DR3 1104794918587191040
7.20751|55.514695|249.1835|#FFBB85|0.148|gaia-988098187549570816|Gaia DR3 988098187549570816
