# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (1, 0, 2), generated 2026-09-08.
# 1787 points.
4.113952|0.888726|227.4288|#FFCB98|0.384|gaia-3258481122133892864|RX J0406.8+0053
4.22572|1.408872|227.6572|#FFB983|0.12|gaia-3258927455136937344|Gaia DR3 3258927455136937344
4.173328|5.160878|228.9292|#FFC08A|0.2|gaia-3284664376642934144|Gaia DR3 3284664376642934144
4.202217|0.103361|230.3642|#FFBD87|0.172|gaia-3255322019069524992|LP 594-26
4.123945|9.414429|230.5599|#FFEBD1|0.553|gaia-3298879962478337152|HD 286571
4.059971|0.569662|231.6036|#FFB27A|0.12|gaia-3257136488132237056|LSPM J0403+0034
4.181247|8.302227|231.7667|#FFB57D|0.12|gaia-3298518498029860224|Gaia DR3 3298518498029860224
4.158288|7.787045|232.8757|#FFC38E|0.27|gaia-3298372915819418752|Gaia DR3 3298372915819418752
4.063666|8.771833|234.6695|#FFCC99|0.425|gaia-3298736510570382336|RX J0403.8+0846
4.011091|2.104276|234.7021|#FFB57D|0.12|gaia-3259609324143054720|Gaia DR3 3259609324143054720
4.15704|1.22615|234.8|#FFC18C|0.261|gaia-3258579700223747456|UCAC4 457-005773
3.957926|3.077274|234.8326|#FFCE9D|0.12|gaia-3271928218059627776|Gaia DR3 3271928218059627776
4.21487|2.318241|235.648|#FFD9AE|0.457|gaia-3259057231868526848|StKM 1-472
4.245709|1.843533|235.7132|#FFBD87|0.152|gaia-3258979441421030784|Gaia DR3 3258979441421030784
4.189648|9.676259|236.1372|#FFBE88|0.182|gaia-3300360076926796416|Gaia DR3 3300360076926796416
4.016727|12.335788|236.3981|#FFC691|0.338|gaia-3304961395650898688|LSPM J0401+1220
4.0764|15.040332|236.4634|#C7D5FF|0.12|gaia-39124751182907520|HS 0401+1454
4.147853|15.987387|236.5612|#FFBA84|0.168|gaia-45282050656206080|Gaia DR3 45282050656206080
3.845546|3.060367|237.5071|#FFD3A5|0.427|gaia-3270704908296360448|StKM 1-418
4.156436|13.701068|237.5723|#FFE4C3|0.12|gaia-3305539631390995200|SDSS J040923.23+134204.5
4.103037|2.86517|237.8332|#FFB983|0.12|gaia-3260120287812878080|LSPM J0406+0251
4.173469|12.576291|238.0615|#FFBA84|0.121|gaia-3304374222080903040|Gaia DR3 3304374222080903040
4.119935|9.730308|238.8443|#FFBD87|0.221|gaia-3303395175697407104|UCAC4 499-006451
4.191294|1.380656|238.8769|#FFB780|0.12|gaia-3258562863951985152|Gaia DR3 3258562863951985152
4.304829|3.52388|239.1379|#FFC38E|0.275|gaia-3283450580227337600|LSPM J0418+0331
4.13258|11.863692|239.5619|#FFD7AB|0.55|gaia-3303947508490902016|HD 286560
4.132696|4.743697|239.5619|#FFC48F|0.281|gaia-3284624038310070400|LSPM J0407+0444E
4.322843|5.212137|239.5945|#FFB47C|0.12|gaia-3284842257007054848|Gaia DR3 3284842257007054848
4.132407|11.863374|239.6923|#FFB983|0.129|gaia-3303947508490902272|Gaia DR3 3303947508490902272
4.190755|3.621538|239.9206|#FFB37B|0.12|gaia-3260240753056025984|LSPM J0411+0337
4.132634|4.744003|239.9532|#FFC692|0.315|gaia-3284624038310070656|LSPM J0407+0444W
3.970968|7.605271|240.0837|#FBF3F1|0.746|gaia-3298174076012574720|HD 24962
3.920847|4.288822|240.1163|#FFD6A9|0.466|gaia-3272386508249859456|BD+03 538B
4.09831|15.550004|240.2468|#FFB57E|0.12|gaia-45357710801947136|Gaia DR3 45357710801947136
3.91777|4.668154|240.7686|#FFBA84|0.158|gaia-3273171147237126272|Gaia DR3 3273171147237126272
4.173459|7.625939|240.9643|#D8D4C8|0.214|gaia-3297614871268560384|Gaia DR3 3297614871268560384
3.785463|7.625581|241.6493|#FFB37C|0.12|gaia-3277345065175589120|Gaia DR3 3277345065175589120
4.173446|7.625533|241.6493|#FFBF89|0.254|gaia-3297614871270846208|Gaia DR3 3297614871270846208
4.042447|6.631083|241.9102|#FFDDB4|0.54|gaia-3297820686103327232|BD+06 620
4.323637|6.27141|242.1711|#FFB780|0.12|gaia-3285246155731480448|Gaia DR3 3285246155731480448
4.216544|5.886977|242.3016|#FFC793|0.289|gaia-3284811917358446080|Gaia DR3 3284811917358446080
3.921143|12.981365|242.5299|#FFCD9B|0.381|gaia-38409999904561024|UCAC4 515-006402
4.190338|1.716834|242.6277|#FFDCB3|0.523|gaia-3258995693577144576|StKM 1-470
3.921292|12.982677|243.117|#FFBD87|0.132|gaia-38410034264299136|Gaia DR3 38410034264299136
4.015544|11.087717|243.1496|#FFB983|0.127|gaia-3304538839588744192|Gaia DR3 3304538839588744192
4.079343|1.875782|243.6388|#FFCA97|0.344|gaia-3259621899807695232|UCAC4 460-005764
4.001371|5.67439|243.7693|#FFB881|0.12|gaia-3273706987356880512|Gaia DR3 3273706987356880512
3.899766|3.121666|243.8019|#FFC28C|0.169|gaia-3272149460416392192|LSPM J0353+0307A
3.795288|10.500489|243.8345|#FFF1E1|0.622|gaia-36190017209456000|BD+10 484
4.142926|19.027515|243.8671|#FFB881|0.12|gaia-47214785940006784|Gaia DR3 47214785940006784
3.826952|8.6524|243.8997|#FFB780|0.121|gaia-3302286627458179968|Gaia DR3 3302286627458179968
4.248493|16.024586|243.9324|#FFC08B|0.251|gaia-3312244491952400640|LP 414-136
4.16004|19.341278|244.5521|#FFC48F|0.228|gaia-48774443183685888|HG 7-111
4.313117|4.044289|244.6173|#FFCD9C|0.384|gaia-3283579364823150464|Gaia DR3 3283579364823150464
3.766929|4.569554|244.6499|#FFEBD1|0.574|gaia-3273347343976006656|BD+04 586
3.847233|6.702304|244.6499|#FFB881|0.12|gaia-3277040534813956864|Gaia DR3 3277040534813956864
3.829076|2.459074|244.7151|#FFBB84|0.132|gaia-3270509538824701184|Gaia DR3 3270509538824701184
4.124692|5.414803|244.7477|#FFBC86|0.147|gaia-3296740793886383616|LSPM J0407+0524
4.157586|8.055779|244.7477|#FFEACF|0.12|gaia-3298487054572576768|Gaia DR3 3298487054572576768
3.924083|0.320424|244.9434|#FFC18B|0.217|gaia-3257815848879261312|2MASS J03552667+0019142
4.330605|8.302482|245.0087|#FDF3EC|0.665|gaia-3299104395991816320|HD 27407
4.040637|15.134081|245.0413|#FFF2E3|0.614|gaia-39325480773830016|HD 285333
4.277645|18.966124|245.0739|#FFBF8A|0.191|gaia-47806632433348992|Gaia DR3 47806632433348992
3.711019|0.202821|245.1717|#FFBC86|0.196|gaia-3263677139207117952|Gaia DR3 3263677139207117952
3.929115|17.167775|245.2044|#FFC792|0.328|gaia-49557776499939968|LP 414-4
4.262552|19.297719|245.4979|#FFBA84|0.128|gaia-48585876939767168|Gaia DR3 48585876939767168
3.867095|2.77338|245.661|#FFCA97|0.378|gaia-3270635329826125312|[R78b] 248
3.892805|2.872198|245.8241|#FFBE88|0.134|gaia-3270455731473768064|Gaia DR3 3270455731473768064
3.913294|11.040767|245.9219|#FFB178|0.12|gaia-3303178297028073088|Gaia DR3 3303178297028073088
4.137488|5.896329|245.9871|#FFEEDA|0.567|gaia-3296864523304892928|BD+05 591
4.047908|20.260298|246.1176|#FFBC86|0.174|gaia-50592004625510400|UCAC4 552-008470
3.977829|8.875744|246.2154|#FFBE89|0.292|gaia-3301417566595074432|TIC 445928638
4.05283|18.668688|246.3459|#FEF4EA|0.656|gaia-50142819765290496|HD 25445
4.194476|5.323008|246.3459|#F8F2F7|0.742|gaia-3284750928822901760|HD 26501
4.271202|6.628728|246.4764|#FFE9CD|0.12|gaia-3285329611240097920|LSPM J0416+0637
3.710503|5.478869|246.5416|#FEF4EA|0.646|gaia-3276652544647115264|HD 23111
3.780854|1.612013|246.5742|#FFBF8A|0.236|gaia-3270073170146116736|Gaia DR3 3270073170146116736
4.039798|10.238419|246.6068|#FFC996|0.363|gaia-3302182684951854976|UCAC4 502-006182
4.327392|14.10755|246.7047|#FFAD75|0.12|gaia-3310683249864838912|2MASS J04193855+1406283
4.223156|17.587765|246.8351|#FFB67F|0.12|gaia-46079677622909824|Cl* Melotte 25 LH 287
3.823309|2.49369|246.9656|#FFBA84|0.158|gaia-3270520396502030080|Gaia DR3 3270520396502030080
4.153167|20.278656|246.9982|#FFB780|0.194|gaia-51856511715955968|UCAC4 552-008835
4.194465|5.322311|247.1287|#D8D4C8|0.267|gaia-3284750928821125120|Gaia DR3 3284750928821125120
3.963175|0.895734|247.3244|#FFB983|0.12|gaia-3257955521216174336|Gaia DR3 3257955521216174336
3.648319|4.847732|247.357|#FFC590|0.282|gaia-3275012691773335296|G 79-52
3.726384|7.872352|247.3896|#FFAB72|0.12|gaia-3278155989360461056|Gaia DR3 3278155989360461056
3.611562|2.419165|247.4222|#FFE4C3|0.524|gaia-3271126433565495680|TYC 64-1372-1
3.946699|16.17057|247.5201|#FFC893|0.315|gaia-40420903592870912|HG 7-47
4.183521|0.035868|247.5201|#FFC08B|0.248|gaia-3255317586663215360|Gaia DR3 3255317586663215360
4.297605|1.653664|247.7158|#FFE4C3|0.508|gaia-3256035327237208576|TYC 74-1135-1
4.220915|12.468229|247.781|#FFDBB1|0.476|gaia-3304405248924668928|LP 474-182
3.920826|4.288626|247.9767|#FFF3E6|0.634|gaia-3272386508251542656|BD+03 538A
3.939941|2.466192|248.0093|#FFE8CA|0.574|gaia-3271865992575013248|BD+02 627
4.261785|6.214801|248.205|#FFE9CD|0.588|gaia-3285208085141247104|BD+05 617
3.753176|9.754945|248.7269|#FFC995|0.339|gaia-36032512167916672|UCAC4 499-005584
3.726697|9.874832|248.8247|#FFBA83|0.12|gaia-12032922112441728|Gaia DR3 12032922112441728
3.747222|2.775794|248.8573|#FFB077|0.12|gaia-3271330079438921728|2MASS J03445004+0246330
3.709851|13.342766|249.477|#FFB881|0.12|gaia-38106912650423168|Gaia DR3 38106912650423168
4.281471|4.595626|249.6401|#FFB983|0.12|gaia-3284430696060910208|Gaia DR3 3284430696060910208
3.841354|5.475166|249.8358|#FFBF8A|0.353|gaia-3273520345257915776|RX J0350.4+0528
4.022677|19.29861|249.901|#FFAE76|0.12|gaia-50240087887985792|2MASS J04012162+1917551
4.310378|8.455697|249.9336|#F3F1FF|0.12|gaia-3299310245184759808|Gaia DR3 3299310245184759808
4.04708|2.058068|250.3903|#FFC692|0.329|gaia-3259597160795696384|Gaia DR3 3259597160795696384
4.219757|16.766631|250.4881|#FFF3E4|0.649|gaia-45732747344388480|HD 285571
4.306194|14.741246|250.4881|#FFC28D|0.199|gaia-3311854474562224640|LP 474-276
4.28477|4.491707|250.6512|#FFC995|0.357|gaia-3284402692874145536|Gaia DR3 3284402692874145536
4.030666|18.450004|250.7164|#FFEBD0|0.572|gaia-50110418532053248|HD 285290
4.119759|22.909134|250.8469|#FFC28D|0.273|gaia-53593843167001216|LP 357-162
4.176145|11.459639|250.9121|#FFC895|0.373|gaia-3304047662831579392|HG 7-116
3.762134|9.379825|251.1404|#FFE5C4|0.543|gaia-3278602391081156608|TYC 658-402-1
4.115662|16.920679|251.2056|#FFC38E|0.285|gaia-46348439497905280|Gaia DR3 46348439497905280
4.048458|22.13423|251.5318|#FFE7C9|0.557|gaia-53159295557465088|TYC 1262-1648-1
4.197632|19.700094|252.2493|#FFD9AE|0.483|gaia-48763997823150464|StKM 1-469
4.09872|15.498834|252.3472|#FCF3EE|0.724|gaia-45354171749336960|HD 25788
4.050144|6.553262|252.3798|#FFBE88|0.222|gaia-3297816047538646912|Gaia DR3 3297816047538646912
4.345618|3.671435|252.5103|#FFB67E|0.12|gaia-3283352178233238400|Gaia DR3 3283352178233238400
4.105699|15.813007|252.6407|#FFD4A7|0.446|gaia-45380044631838848|StKM 1-452
4.017868|3.575015|252.8364|#FFB179|0.12|gaia-3272054936776206976|Gaia DR3 3272054936776206976
4.234608|8.378998|252.8364|#FFBD87|0.196|gaia-3299259603226277632|Gaia DR3 3299259603226277632
3.622449|9.111783|252.9995|#FFD2A2|0.423|gaia-11918396807487872|Gaia DR3 11918396807487872
3.982478|14.951698|252.9995|#FFBC86|0.12|gaia-39262155776326272|2MASS J03585681+1457087
3.750897|12.210699|253.13|#FFB078|0.12|gaia-37724454402734208|LSPM J0345+1212
4.237907|18.838153|253.4561|#FFAD74|0.12|gaia-48469530569468544|Gaia DR3 48469530569468544
3.898015|16.734302|253.4887|#FFB881|0.12|gaia-43504758831286784|Gaia DR3 43504758831286784
3.967282|15.332124|253.4887|#FFBC86|0.165|gaia-40129223773916800|Gaia DR3 40129223773916800
3.64026|10.486858|253.5214|#FFC28D|0.262|gaia-12372533766094080|Gaia DR3 12372533766094080
4.206487|8.597149|253.7497|#FFE4C3|0.521|gaia-3300030704475141120|Gaia DR3 3300030704475141120
3.823306|2.496896|253.978|#FAF3F3|0.703|gaia-3270520392204157056|HD 23976
4.18603|7.667015|253.978|#FFAC73|0.12|gaia-3297708222382698496|LSPM J0411+0740
3.579766|6.000047|254.0432|#FFC894|0.313|gaia-3276038398683042304|TYC 70-1338-1
3.65248|14.287666|254.1084|#FFDFB8|0.495|gaia-41231857840570368|StKM 1-395
3.894732|22.536533|254.2389|#FFB077|0.12|gaia-63890146789977216|2MASS J03534099+2232120
4.24631|18.000158|254.4998|#FFBB84|0.12|gaia-47642118006001664|Gaia DR3 47642118006001664
3.679717|6.726115|254.6303|#FFB67F|0.12|gaia-3277558366133969792|Gaia DR3 3277558366133969792
4.103516|11.158791|254.6955|#FFB881|0.167|gaia-3303883152701038080|Gaia DR3 3303883152701038080
4.134315|11.663749|254.7281|#FFCA97|0.383|gaia-3303928438836126720|Gaia DR3 3303928438836126720
4.394091|11.144781|254.7281|#FFC38E|0.251|gaia-3306792529186708480|Gaia DR3 3306792529186708480
3.950488|6.039673|254.826|#D6DFFF|0.876|gaia-3273790103563944064|HD 24817
4.382238|4.076065|254.8912|#FFCD9B|0.393|gaia-3283764357654754560|Gaia DR3 3283764357654754560
3.660944|1.367072|254.9238|#FFB780|0.12|gaia-3270743356842577280|Gaia DR3 3270743356842577280
3.703097|15.964339|255.0869|#FFBE88|0.171|gaia-43179475186952064|Gaia DR3 43179475186952064
4.014427|17.108047|255.1195|#D8D4C8|0.12|gaia-46508040480421376|Gaia DR3 46508040480421376
3.751091|2.603171|255.2174|#FFBE88|0.23|gaia-3271309605332136832|Gaia DR3 3271309605332136832
3.830587|3.494569|255.2174|#FFCA97|0.412|gaia-3271488138532878336|PM J03498+0329
3.488588|1.974487|255.3152|#FFEBD1|0.559|gaia-3267992271374519936|BD+01 604
4.430945|7.426658|255.3804|#FFB982|0.215|gaia-3286747607578538496|Gaia DR3 3286747607578538496
4.160727|11.746215|255.4457|#FFBF8A|0.251|gaia-3304258979518499840|2MASS J04093862+1144471
3.993722|14.859302|255.5435|#FFBE88|0.245|gaia-39247278009612800|UCAC4 525-007288
4.414185|3.771873|255.7066|#FFBC86|0.198|gaia-3283691102692640128|Gaia DR3 3283691102692640128
3.839219|15.213849|256.0328|#FFE4C2|0.12|gaia-39938900885577600|Gaia DR3 39938900885577600
3.803635|10.45733|256.0654|#FFB881|0.12|gaia-36182870383944704|Gaia DR3 36182870383944704
4.244626|5.885521|256.0654|#FFC995|0.325|gaia-3285172041775739008|Gaia DR3 3285172041775739008
