# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (0, -1, -3), generated 2026-09-08.
# 2129 points.
18.023985|-7.568842|202.1517|#FFEED8|0.583|gaia-4170824088116483968|HD 164433
18.023221|-7.563515|203.3585|#FFBE89|0.153|gaia-4170824156835972096|HD 164433C
18.009737|-8.700233|203.5542|#FFAD74|0.12|gaia-4170452586320948864|Gaia DR3 4170452586320948864
18.251969|-2.780493|203.652|#FFC08B|0.244|gaia-4270641567611924864|Gaia DR3 4270641567611924864
18.326829|-4.952569|203.652|#FFBD87|0.143|gaia-4173317162012247040|Gaia DR3 4173317162012247040
18.007044|-0.775922|203.7173|#FEF4EA|0.12|gaia-4179228544536482176|GALEX J180025.3-004633
18.23439|-8.056674|205.0871|#FFC894|0.338|gaia-4158784092199871744|Gaia DR3 4158784092199871744
18.745252|-3.323914|205.7068|#FFBA83|0.12|gaia-4258595661824065920|Gaia DR3 4258595661824065920
18.480001|-10.231061|205.7394|#FFBB84|0.216|gaia-4155751398620004352|HD 170248B
18.149897|-4.792766|206.1308|#FFB57D|0.12|gaia-4173909523895604992|Gaia DR3 4173909523895604992
18.745234|-3.324653|206.2613|#FFBA84|0.139|gaia-4258595661824065152|Gaia DR3 4258595661824065152
18.6508|-8.817694|206.5222|#FFA96F|0.12|gaia-4155667457788930304|2MASS J18390281-0849016
18.742424|-3.287265|206.5874|#FFEFDB|0.589|gaia-4258596761335781888|HD 173277
18.931849|-1.730975|206.6853|#FFBD87|0.135|gaia-4264992375650163584|Gaia DR3 4264992375650163584
18.788759|-2.671507|206.9788|#FFD3A4|0.461|gaia-4259019214305855744|TYC 5118-207-1
18.588968|-11.768088|207.6638|#FFBF8A|0.203|gaia-4106542854479720960|Gaia DR3 4106542854479720960
18.690418|-11.788904|207.8595|#FFBD87|0.159|gaia-4106422183079040256|Gaia DR3 4106422183079040256
18.623247|-0.488463|207.9247|#FFC38F|0.248|gaia-4272323579884522880|Gaia DR3 4272323579884522880
18.724108|-3.722789|208.4139|#FFC08A|0.151|gaia-4258475471471744640|Gaia DR3 4258475471471744640
18.72671|-6.425545|208.4139|#FFAD74|0.12|gaia-4253190256572584832|Gaia DR3 4253190256572584832
18.727823|-11.885378|208.5444|#FFC18C|0.182|gaia-4106362848164848640|Gaia DR3 4106362848164848640
18.142339|-14.251138|208.577|#FFAC73|0.12|gaia-4146943073531059200|Gaia DR3 4146943073531059200
18.885812|-6.637938|208.7075|#FFBD87|0.222|gaia-4252429428910011136|Gaia DR3 4252429428910011136
18.046344|-10.044856|208.7401|#FFB982|0.12|gaia-4158234954865917184|2MASS J18024683-1002402
18.737479|-7.596218|208.9032|#FFBD88|0.165|gaia-4251943719663841664|Gaia DR3 4251943719663841664
18.657719|-6.530722|208.9684|#FFE4C2|0.522|gaia-4253051958570776576|BD-06 4826
18.403757|-4.043605|209.001|#FFC894|0.338|gaia-4269476738123898368|Gaia DR3 4269476738123898368
18.27676|-3.478556|209.0662|#FFBB84|0.159|gaia-4270542886442716416|Gaia DR3 4270542886442716416
18.222551|-0.764032|209.0989|#FFE9CD|0.58|gaia-4274188660842103936|HD 167011
18.427039|-12.35737|209.0989|#FFAC73|0.12|gaia-4153176960861963136|Gaia DR3 4153176960861963136
18.326054|-7.036003|209.1967|#FFBB84|0.16|gaia-4160451604674366336|Gaia DR3 4160451604674366336
18.322613|-11.377923|209.2293|#FFAF76|0.12|gaia-4153915003724194816|Gaia DR3 4153915003724194816
18.753599|-5.026155|209.5555|#FFC38E|0.259|gaia-4253641640453451008|LP 691-13
18.130597|-16.689049|209.5881|#FFDFB9|0.528|gaia-4144140280955606528|TYC 6251-414-1
19.075118|-3.806144|209.849|#FFB47C|0.12|gaia-4260714626905690240|LP 691-21 B
18.017512|-2.586045|210.0121|#FFC08B|0.294|gaia-4178007949188473088|Gaia DR3 4178007949188473088
18.372564|-9.530306|210.0773|#FFB882|0.161|gaia-4159075462792179456|Gaia DR3 4159075462792179456
18.012439|-0.35884|210.1752|#FFC08B|0.205|gaia-4179315753850689408|Gaia DR3 4179315753850689408
18.23129|-4.438082|210.1752|#FFC38E|0.261|gaia-4173562524920305152|Gaia DR3 4173562524920305152
18.792738|-10.71947|210.5013|#FFC28D|0.317|gaia-4106967678284616832|Gaia DR3 4106967678284616832
18.750995|-5.504313|210.697|#FFF3E5|0.676|gaia-4253542237749733248|HD 173372
18.505085|-6.974551|210.9579|#FFC08A|0.252|gaia-4159901539619231488|UCAC4 416-080513
18.137412|-10.922573|211.0884|#FFCB99|0.382|gaia-4157136538431478528|Gaia DR3 4157136538431478528
18.736199|-11.965788|211.1863|#FFBD87|0.161|gaia-4106349413506703360|Gaia DR3 4106349413506703360
18.227405|-2.01728|211.5124|#D8D4C8|0.12|gaia-4270950289854837760|Gaia DR3 4270950289854837760
18.320313|-11.403818|211.545|#FFC28D|0.188|gaia-4153914492629169792|Gaia DR3 4153914492629169792
18.155679|-12.295502|211.6103|#FFAE75|0.12|gaia-4150783732050690688|2MASS J18092044-1217435
18.297622|-5.386197|211.6755|#FFAC73|0.12|gaia-4173204217252660608|2MASS J18175142-0523083
18.378218|-17.637425|211.806|#FFC28D|0.241|gaia-4096480128427428096|Gaia DR3 4096480128427428096
18.556656|-14.133574|211.969|#FFDAAF|0.474|gaia-4104489658367339776|TYC 5703-808-1
18.24643|-8.790684|212.0016|#FFBF89|0.253|gaia-4158661256131314432|Gaia DR3 4158661256131314432
18.816236|-1.480296|212.0016|#FFC18C|0.272|gaia-4259994962163999872|Gaia DR3 4259994962163999872
18.951038|-5.846498|212.1973|#FFE1BC|0.965|gaia-4253892913176211200|* eta Sct
18.334899|-15.86203|212.3278|#FFBC86|0.147|gaia-4098023670897203200|Gaia DR3 4098023670897203200
18.301007|-0.900189|212.4583|#FFAA71|0.12|gaia-4274490850448365696|2MASS J18180364-0054025
18.834036|-13.278339|212.5887|#FFF0DF|0.607|gaia-4105217672430020864|BD-13 5114
18.834557|-13.275735|212.5887|#FFF3E6|0.643|gaia-4105219081179278720|HD 174226
18.474501|-17.275465|212.9801|#FFB178|0.12|gaia-4096706078072077568|Gaia DR3 4096706078072077568
19.186629|-6.9583|212.9801|#FFBF89|0.243|gaia-4205069679130279808|Gaia DR3 4205069679130279808
18.446972|-0.759641|213.078|#FFBF8A|0.126|gaia-4272864092928656128|Gaia DR3 4272864092928656128
18.408373|-15.787365|213.1106|#FFB882|0.12|gaia-4097933923269993216|Gaia DR3 4097933923269993216
19.14814|-2.975385|213.1758|#FFC590|0.243|gaia-4260889036943051136|Gaia DR3 4260889036943051136
18.295946|-15.405885|213.502|#FFDCB2|0.487|gaia-4146138608971126144|TYC 6265-227-1
18.30113|-10.245154|213.6977|#FFBA84|0.12|gaia-4157440553399932160|Gaia DR3 4157440553399932160
18.396587|-12.714786|213.6977|#FFBA83|0.12|gaia-4152784160337415424|Gaia DR3 4152784160337415424
18.431785|-17.05056|213.7629|#FFD7AB|0.471|gaia-4096922303874261760|TYC 6270-890-1
18.246488|-8.791509|213.8607|#FFB57D|0.12|gaia-4158661256116744576|Gaia DR3 4158661256116744576
18.714475|-3.743523|213.9912|#FFB881|0.12|gaia-4258452480484354048|Gaia DR3 4258452480484354048
18.800139|-11.617247|214.2521|#FFBB85|0.158|gaia-4106008496178556544|Gaia DR3 4106008496178556544
18.367661|-1.340369|214.3826|#FFB078|0.12|gaia-4271238976089128448|Gaia DR3 4271238976089128448
18.866668|-10.749487|214.4152|#FFB77F|0.12|gaia-4202237169738242816|Gaia DR3 4202237169738242816
18.711593|-5.288119|214.4478|#FFCE9E|0.407|gaia-4253605253505003904|TYC 5121-242-1
18.47478|-3.272935|214.5457|#FFB983|0.12|gaia-4269990244406228992|Gaia DR3 4269990244406228992
18.792671|-6.950383|214.8392|#FFF4E9|0.12|gaia-4252356105208887040|Gaia DR3 4252356105208887040
18.792839|-6.940141|214.9044|#FFBF89|0.173|gaia-4252356208286888192|Gaia DR3 4252356208286888192
18.859236|-1.5523|214.9044|#FFF2E3|0.641|gaia-4259253960051795328|HD 174647
18.697439|-18.36644|214.9371|#FFC490|0.28|gaia-4098588819923307520|Gaia DR3 4098588819923307520
18.635111|-11.308485|215.1654|#FFA469|0.12|gaia-4106677755153211520|2MASS J18380653-1118279
18.911985|-9.178605|215.2958|#FFBC85|0.137|gaia-4203619668165965184|Gaia DR3 4203619668165965184
18.4901|-12.745088|215.3937|#FFC48F|0.326|gaia-4152923931432997504|Gaia DR3 4152923931432997504
19.25999|-3.783971|215.6872|#FFB37B|0.12|gaia-4212866870147925760|Gaia DR3 4212866870147925760
18.328626|-0.941472|215.8177|#FFCF9F|0.395|gaia-4271496674117804544|Gaia DR3 4271496674117804544
18.673337|-12.656968|215.8177|#FFB67E|0.12|gaia-4106212416876596864|Gaia DR3 4106212416876596864
18.664109|-9.535759|215.9155|#FFCA97|0.355|gaia-4155370074299842560|Gaia DR3 4155370074299842560
18.976736|-7.944015|215.9155|#D8D4C8|0.274|gaia-4203825620425071232|Gaia DR3 4203825620425071232
19.233977|-5.67408|215.9808|#FFE4C2|0.526|gaia-4212003856599623040|TYC 5141-896-1
