# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-2, -3, 1), generated 2026-09-08.
# 1095 points.
9.209782|-53.531646|252.3472|#FFC895|0.337|gaia-5311524039964717184|Gaia DR3 5311524039964717184
8.945436|-55.178621|253.8149|#FFCF9F|0.411|gaia-5305192021207417984|Gaia DR3 5305192021207417984
8.719588|-51.899854|255.2826|#FFC38E|0.245|gaia-5318706908891836416|SCR J0843-5154
8.67766|-52.225504|255.4783|#FFB67F|0.12|gaia-5321604706143949184|Gaia DR3 5321604706143949184
9.151059|-53.317215|255.8371|#FFB47D|0.12|gaia-5311360728126641280|Gaia DR3 5311360728126641280
8.890436|-53.263743|256.0001|#FFB27A|0.12|gaia-5317600422243811840|Gaia DR3 5317600422243811840
9.114707|-54.021131|256.3263|#FFB982|0.12|gaia-5311312143450144640|Gaia DR3 5311312143450144640
8.88113|-53.919138|257.1743|#FFD8AD|0.465|gaia-5317499713846875904|TYC 8569-3291-1
9.185487|-51.529205|258.3811|#FFC28D|0.291|gaia-5323975356288102912|Gaia DR3 5323975356288102912
9.156729|-55.039254|258.4137|#FFBC86|0.16|gaia-5310932571420013568|Gaia DR3 5310932571420013568
8.78518|-50.921398|258.7725|#FFC995|0.342|gaia-5327768911924726912|UCAC4 196-022171
8.787478|-51.92149|259.4574|#FEF4EA|0.756|gaia-5318676397443178240|HD 75351
8.787639|-51.920557|259.914|#FFCC9A|0.387|gaia-5318676397443179264|HD 75351B
9.083719|-50.35058|261.871|#FFB37C|0.12|gaia-5324338396982146560|Gaia DR3 5324338396982146560
8.86416|-54.946953|262.6211|#FFF3E6|0.633|gaia-5317172746578534144|CD-54 2423
9.080646|-56.294199|262.7516|#FFC692|0.376|gaia-5304828971900544896|Gaia DR3 5304828971900544896
8.864117|-54.9369|262.8168|#FFCB98|0.432|gaia-5317172746578536832|Gaia DR3 5317172746578536832
9.175672|-49.767242|262.882|#FFEACE|0.547|gaia-5325845350686361600|HD 297392
9.222635|-49.491936|263.3713|#FFBB84|0.147|gaia-5325932452623217536|Gaia DR3 5325932452623217536
8.772747|-54.770019|264.415|#FFE2BE|0.519|gaia-5317038365638120960|TYC 8573-1343-1
9.583203|-49.598599|264.839|#FFBF89|0.213|gaia-5409202316498761856|Gaia DR3 5409202316498761856
8.665101|-53.858119|264.9368|#FFBA84|0.12|gaia-5318083417075640704|Gaia DR3 5318083417075640704
8.665028|-53.857884|265.1325|#FFBA83|0.12|gaia-5318083417075638912|Gaia DR3 5318083417075638912
8.534857|-52.102063|265.3608|#FFAD74|0.12|gaia-5321482419832093952|2MASS J08320552-5206112
9.541751|-49.507295|265.4587|#FFF4E9|0.656|gaia-5409954863481708672|HD 82777
9.022359|-52.353519|265.4913|#FFB881|0.244|gaia-5323690033028759936|UCAC4 189-023599
9.424282|-51.169386|265.4913|#FFCA97|0.38|gaia-5313319542444809344|Gaia DR3 5313319542444809344
9.397696|-52.787101|265.7848|#FFBD87|0.19|gaia-5312362447617128832|Gaia DR3 5312362447617128832
8.743995|-51.380976|266.6655|#FFBB85|0.12|gaia-5321749017037343360|Gaia DR3 5321749017037343360
8.50651|-49.520828|266.8938|#FFBB85|0.12|gaia-5323082174882867584|Gaia DR3 5323082174882867584
9.142962|-53.604675|267.2199|#FFC08A|0.151|gaia-5311347430903262464|SCR J0908-5336
9.362951|-53.119677|268.4919|#FFB77F|0.12|gaia-5310861481132722048|Gaia DR3 5310861481132722048
9.40624|-48.770685|268.4919|#FFD7AA|0.446|gaia-5314205607057375360|Gaia DR3 5314205607057375360
9.029125|-54.521488|268.5572|#FFC38E|0.296|gaia-5311226896939460864|Gaia DR3 5311226896939460864
8.775085|-53.677848|269.1769|#FFB881|0.12|gaia-5318241673729636224|2MASS J08463017-5340377
9.082958|-55.277549|269.2095|#FAF3F3|0.12|gaia-5310946212237920512|Gaia DR3 5310946212237920512
8.667679|-48.054354|269.4704|#FFB780|0.12|gaia-5329217140544057600|Gaia DR3 5329217140544057600
9.029376|-54.519831|269.8618|#FFB67F|0.12|gaia-5311226896939462656|Gaia DR3 5311226896939462656
8.985033|-58.127111|270.0575|#FFD8AC|0.463|gaia-5303496677350137088|UCAC3 64-47720
8.919574|-54.618302|270.0901|#FFE7C9|0.12|gaia-5317228581134029440|Gaia DR3 5317228581134029440
8.856479|-48.963344|270.5141|#FFB67F|0.12|gaia-5328411885711970304|Gaia DR3 5328411885711970304
8.902879|-54.101018|270.6772|#FFC692|0.259|gaia-5317306028005170176|SCR J0854-5406
9.110746|-50.379014|271.1338|#FFF1E1|0.595|gaia-5324346785059615744|HD 78475
8.917988|-54.067114|271.46|#FFE1BC|0.522|gaia-5317327399763812864|TYC 8582-3336-1
8.749516|-53.431827|271.5904|#FFE9CE|0.579|gaia-5318298371602727168|TYC 8569-2453-1
9.713368|-47.572241|272.2101|#FFEBD0|0.12|gaia-5409880813948673536|Gaia DR3 5409880813948673536
9.215624|-55.027558|272.3406|#FFC38E|0.237|gaia-5310258502076329984|UPM J0912-5501
9.331435|-51.003022|272.5037|#FFBC86|0.155|gaia-5313561709870242048|Gaia DR3 5313561709870242048
8.858853|-47.665738|272.5689|#FFE0BA|0.513|gaia-5328724417583261056|TYC 8156-2128-1
8.923163|-50.79832|272.6667|#FFC08A|0.154|gaia-5324650834393682304|Gaia DR3 5324650834393682304
9.244822|-50.579607|272.6993|#FFC08A|0.208|gaia-5325559993062160512|Gaia DR3 5325559993062160512
8.55255|-50.758466|272.732|#FFBE88|0.12|gaia-5322708684529051392|Gaia DR3 5322708684529051392
8.445316|-49.530034|273.2864|#FFB67E|0.12|gaia-5515222823976837760|2MASS J08264314-4931482
9.051929|-51.158953|273.3843|#FCF3ED|0.727|gaia-5324206185016423040|HD 77867
8.879389|-50.211284|273.4169|#FFAE75|0.12|gaia-5324914957701396992|Gaia DR3 5324914957701396992
9.566006|-47.754698|273.5147|#FFB982|0.12|gaia-5410218162161319552|Gaia DR3 5410218162161319552
8.792443|-55.803993|274.004|#FFBE88|0.179|gaia-5316726413573333504|Gaia DR3 5316726413573333504
9.052097|-51.158401|274.004|#FFC793|0.334|gaia-5324206180711769600|Gaia DR3 5324206180711769600
8.839519|-52.015647|274.1997|#FFB67F|0.12|gaia-5324472301188694400|Gaia DR3 5324472301188694400
8.462899|-47.462699|274.3301|#FFBD86|0.122|gaia-5515722728119312640|Gaia DR3 5515722728119312640
8.523557|-52.228474|274.428|#FFC793|0.319|gaia-5321456615667051520|Gaia DR3 5321456615667051520
9.70007|-49.714031|274.6237|#FFEACE|0.12|gaia-5409048689796005248|Gaia DR3 5409048689796005248
8.356525|-49.015389|274.7541|#FFB078|0.12|gaia-5515134004050849408|Gaia DR3 5515134004050849408
9.288425|-47.264389|274.7541|#FFCB99|0.364|gaia-5326589754418265088|GSC 08170-01130
8.99188|-55.015606|274.8194|#FCF3EF|0.68|gaia-5305183156395441024|HD 77306
8.982427|-56.263178|274.8846|#FFB47D|0.12|gaia-5304805680306996736|Gaia DR3 5304805680306996736
9.727211|-47.67914|274.9824|#FFAD74|0.12|gaia-5409832886410383232|Gaia DR3 5409832886410383232
9.385931|-50.987843|275.2108|#FFBB84|0.12|gaia-5313386028537017472|Gaia DR3 5313386028537017472
9.503865|-50.291884|275.2108|#FFB47D|0.12|gaia-5313830398714019328|2MASS J09301396-5017313
8.8483|-50.087299|275.2434|#FFB37B|0.12|gaia-5327911504838755200|Gaia DR3 5327911504838755200
8.863213|-52.316692|275.6021|#FFBF89|0.12|gaia-5324406158690668160|Gaia DR3 5324406158690668160
8.995104|-56.638379|275.6348|#FFBC86|0.12|gaia-5304759633950265728|Gaia DR3 5304759633950265728
8.5311|-53.67625|275.7|#A9C0FF|0.245|gaia-5321056462156468480|BPM 19061
8.402189|-50.938489|275.7978|#FFB67F|0.12|gaia-5322479535138186368|Gaia DR3 5322479535138186368
9.472648|-48.457877|276.2545|#FFC28D|0.284|gaia-5410255167591500800|Gaia DR3 5410255167591500800
8.961303|-47.450555|276.4175|#FFAF77|0.12|gaia-5330099017571833472|Gaia DR3 5330099017571833472
8.895544|-57.387874|276.4501|#FFC18B|0.234|gaia-5304346153161916288|Gaia DR3 5304346153161916288
9.123333|-48.910896|276.6785|#FFE5C5|0.535|gaia-5326691837198548608|CD-48 4441
9.124488|-48.914659|276.8089|#FFB881|0.12|gaia-5326688916620788864|Gaia DR3 5326688916620788864
8.962601|-48.99214|276.8741|#FFBD87|0.23|gaia-5325454852262630912|SCR J0857-4859
9.266187|-55.263762|277.0698|#FFBE88|0.247|gaia-5310196551466018048|UPM J0915-5515
9.032689|-51.771812|277.2982|#FFAD74|0.12|gaia-5323745691499188736|Gaia DR3 5323745691499188736
8.800007|-49.272018|277.4286|#FFAE75|0.12|gaia-5328193525268449792|Gaia DR3 5328193525268449792
8.719701|-51.698954|277.82|#FFB178|0.12|gaia-5321717062489141248|Gaia DR3 5321717062489141248
9.165487|-56.207113|277.9831|#FFC691|0.304|gaia-5310096014870404224|Gaia DR3 5310096014870404224
8.610685|-53.057747|278.0157|#FFBE88|0.222|gaia-5321179951055727872|Gaia DR3 5321179951055727872
8.867289|-49.878847|278.0157|#FFC08B|0.277|gaia-5327938133636907136|Gaia DR3 5327938133636907136
9.743773|-49.28768|278.0809|#FFBA83|0.157|gaia-5409456509842909056|Gaia DR3 5409456509842909056
9.834802|-46.452551|278.0809|#FFB078|0.12|gaia-5411311828323679232|Gaia DR3 5411311828323679232
9.888258|-46.228558|278.1135|#FFDAAF|0.468|gaia-5411331864357740800|Gaia DR3 5411331864357740800
9.027771|-58.138085|278.3419|#FFC995|0.362|gaia-5303467437211492992|Gaia DR3 5303467437211492992
9.277496|-52.260351|278.3419|#FFBE88|0.204|gaia-5311892960460011904|Gaia DR3 5311892960460011904
8.522097|-49.472726|278.6028|#FFC590|0.298|gaia-5323041183723798784|Gaia DR3 5323041183723798784
8.647233|-55.097709|278.7985|#FFBB85|0.191|gaia-5317681030178952064|Gaia DR3 5317681030178952064
8.489915|-53.747271|278.9942|#FFEACF|0.583|gaia-5321076528244767360|CD-53 2305
9.099785|-52.423584|278.9942|#FFBC86|0.129|gaia-5323840356881102208|Gaia DR3 5323840356881102208
9.012356|-48.670594|279.092|#D8E0FF|0.12|gaia-5325480553346799488|Gaia DR3 5325480553346799488
9.888314|-46.227063|279.1246|#FFEBD0|0.569|gaia-5411331864359300224|TYC 8181-2775-1
8.938915|-58.274513|279.2877|#FFC692|0.323|gaia-5303406345596384256|Gaia DR3 5303406345596384256
9.892751|-46.11799|279.5486|#FFC28D|0.28|gaia-5411709374801801600|ASTEP V-0949
8.680998|-50.493641|279.6791|#FFB57D|0.12|gaia-5322043617433294592|Gaia DR3 5322043617433294592
9.449935|-47.88872|279.7117|#FFC38E|0.31|gaia-5410334985265121920|Gaia DR3 5410334985265121920
8.342749|-46.403436|279.7443|#FFBA84|0.145|gaia-5516689508073029888|Gaia DR3 5516689508073029888
9.003525|-52.722664|280.0379|#FFB27A|0.12|gaia-5323677629163254400|Gaia DR3 5323677629163254400
8.373775|-47.290774|280.0705|#FFC38E|0.183|gaia-5516452735116631424|Gaia DR3 5516452735116631424
8.22684|-45.958964|280.1683|#FAF3F2|0.709|gaia-5519440138262782464|HD 69130B
9.159062|-53.35204|280.2009|#FFBE88|0.149|gaia-5311357567026517760|Gaia DR3 5311357567026517760
9.305329|-52.760591|280.2336|#FFC692|0.33|gaia-5311632651090931968|Gaia DR3 5311632651090931968
8.650873|-51.389587|280.364|#FFBA83|0.18|gaia-5321704830422680704|Gaia DR3 5321704830422680704
8.226672|-45.960619|280.4945|#F8F2F7|0.746|gaia-5519439764610704896|HD 69130A
9.304058|-52.71757|280.4945|#FFBB85|0.146|gaia-5311679792656282368|Gaia DR3 5311679792656282368
8.432364|-46.544992|280.5923|#FFBA83|0.192|gaia-5516592922851756288|Gaia DR3 5516592922851756288
