# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (0, 0, -3), generated 2026-09-08.
# 2087 points.
18.331951|1.098339|201.3363|#FFBF89|0.267|gaia-4276482894932799744|Gaia DR3 4276482894932799744
18.076883|1.999543|201.6625|#FFBC85|0.223|gaia-4468234836603420800|Gaia DR3 4468234836603420800
18.391965|4.738717|201.7603|#D8D4C8|0.12|gaia-4284421094008764672|Gaia DR3 4284421094008764672
18.413496|3.173351|201.8582|#FFDFB9|0.511|gaia-4278003828767796608|BD+03 3703
18.529283|2.454451|202.38|#FFAD74|0.12|gaia-4276931736207278336|LSPM J1831+0227
18.196239|3.567793|202.5757|#FFB078|0.12|gaia-4470056379467779328|Gaia DR3 4470056379467779328
18.085982|8.096414|203.3259|#FFB983|0.156|gaia-4475438080869188608|Gaia DR3 4475438080869188608
18.192084|0.208555|203.3911|#FFB67F|0.12|gaia-4275612184804169472|Gaia DR3 4275612184804169472
18.545205|5.599843|203.9456|#D8D4C8|0.12|gaia-4284713220508164992|Gaia DR3 4284713220508164992
18.672656|2.876954|204.076|#FFC894|0.349|gaia-4280009303615302144|Gaia DR3 4280009303615302144
18.576526|3.965829|204.4674|#D8D4C8|0.122|gaia-4283361817627904640|Gaia DR3 4283361817627904640
18.085943|8.09655|204.6631|#FFBD87|0.196|gaia-4475438080869188480|Gaia DR3 4475438080869188480
18.203997|10.662374|204.7284|#FFC28D|0.285|gaia-4482987327705364608|** KPP 4090A
18.385628|9.288057|204.7284|#FFB27A|0.12|gaia-4478808565051918464|Gaia DR3 4478808565051918464
18.5765|3.965646|204.9567|#FFBE88|0.228|gaia-4283361817640552960|Gaia DR3 4283361817640552960
18.72381|6.733066|205.0871|#FFC18C|0.185|gaia-4285699379363557248|Gaia DR3 4285699379363557248
18.795123|3.140325|205.4133|#FFBD87|0.182|gaia-4280254425971829632|Gaia DR3 4280254425971829632
18.024049|6.902125|205.9025|#FFF1E0|0.603|gaia-4475241057830306176|HD 164554
18.675989|8.187872|206.3918|#FFAB71|0.12|gaia-4287220278824090880|Gaia DR3 4287220278824090880
18.294278|13.575623|206.4896|#FFAC72|0.12|gaia-4497422605408455296|Gaia DR3 4497422605408455296
18.435133|2.288302|207.4355|#FFB078|0.12|gaia-4277065292504876416|Gaia DR3 4277065292504876416
18.665521|2.315022|207.5007|#FFB179|0.12|gaia-4279775550003883520|Gaia DR3 4279775550003883520
18.659537|11.563757|207.6638|#FFB47C|0.12|gaia-4504834589412332672|LSPM J1839+1133
18.328774|10.298236|207.7616|#FFE9CD|0.12|gaia-4483616591946346880|Gaia DR3 4483616591946346880
18.229651|13.291113|207.7942|#FFC590|0.281|gaia-4497068223368124672|Gaia DR3 4497068223368124672
18.300037|4.066073|207.8921|#FFBB85|0.12|gaia-4470427022272805120|Gaia DR3 4470427022272805120
19.033626|0.627465|207.9573|#FFDEB7|0.509|gaia-4265999738770662272|TYC 462-1426-1
18.742226|6.049076|207.9899|#FFECD4|0.579|gaia-4285507858197749120|BD+05 3937
18.460249|2.383484|208.2182|#FEF4E9|0.671|gaia-4277059657508146304|HD 170096
18.209908|14.498064|208.4465|#FFBD87|0.18|gaia-4497785482906775808|Gaia DR3 4497785482906775808
18.092188|1.788145|208.7075|#FFC08A|0.184|gaia-4468215835667794048|Gaia DR3 4468215835667794048
18.871987|3.193772|209.849|#FFB982|0.161|gaia-4279470714697475456|Gaia DR3 4279470714697475456
18.493797|11.665962|210.1099|#FFC28D|0.242|gaia-4483966339735404928|Gaia DR3 4483966339735404928
18.013163|12.415037|210.1426|#FFC28D|0.215|gaia-4496297603151801472|LSPM J1800+1224
18.631277|7.657822|210.1752|#FFC38E|0.276|gaia-4286800402832793088|Gaia DR3 4286800402832793088
18.756058|1.138299|210.4035|#FFB47C|0.12|gaia-4278652781128983936|Gaia DR3 4278652781128983936
18.269588|14.481625|210.5339|#FFC38E|0.279|gaia-4497739234698295936|Gaia DR3 4497739234698295936
18.354297|5.483326|210.5666|#FFBE88|0.12|gaia-4476675856094636416|Gaia DR3 4476675856094636416
18.331597|11.993673|210.6644|#FFC08B|0.235|gaia-4484658344861232256|G 141-1
18.535794|3.565597|210.697|#FFC38E|0.337|gaia-4283260314667346560|Gaia DR3 4283260314667346560
18.205928|5.398348|210.8275|#FFECD3|0.533|gaia-4471568143540690816|BD+05 3640
18.140732|2.115719|211.0232|#FFC38E|0.293|gaia-4468301013456817920|Gaia DR3 4468301013456817920
18.140745|2.116775|211.0558|#FFBB84|0.129|gaia-4468301009152237056|Gaia DR3 4468301009152237056
18.252798|0.681017|211.1863|#FFB27A|0.12|gaia-4274999443291457024|Gaia DR3 4274999443291457024
18.312462|11.18143|211.2515|#FFBB85|0.12|gaia-4483746059449379456|Gaia DR3 4483746059449379456
19.071828|1.463436|211.3167|#FFB67F|0.12|gaia-4267567882872932224|Gaia DR3 4267567882872932224
18.127747|6.874|211.3493|#FFBC86|0.147|gaia-4475052598965137152|Gaia DR3 4475052598965137152
18.872834|3.193062|211.4146|#FFB780|0.12|gaia-4279470714697474944|2MASS J18522213+0311348
18.352778|15.380402|211.4472|#FFB982|0.12|gaia-4521719274065131776|LSPM J1821+1522
18.646345|8.912452|211.5776|#FFC894|0.316|gaia-4479472803207600896|Gaia DR3 4479472803207600896
18.74149|13.407905|211.6103|#FFEFDA|0.611|gaia-4505716603888470272|HD 229332
18.15771|17.711592|211.8712|#FFB982|0.12|gaia-4526219197194905088|Gaia DR3 4526219197194905088
18.461943|12.36408|211.8712|#FFC28D|0.306|gaia-4484340345489539840|Gaia DR3 4484340345489539840
18.949058|1.244713|212.0343|#FFD2A3|0.405|gaia-4266833404785744512|Gaia DR3 4266833404785744512
18.446255|10.684665|212.1321|#FFC591|0.313|gaia-4483516085417136128|Gaia DR3 4483516085417136128
18.376791|3.748112|212.1973|#FFC48F|0.313|gaia-4278282692396024064|Gaia DR3 4278282692396024064
18.722098|9.163565|212.3604|#FBF3F1|0.688|gaia-4287389053874986496|HD 173091
18.118842|1.136452|212.5561|#FFB67F|0.12|gaia-4275964367820867968|Gaia DR3 4275964367820867968
18.949069|1.245691|212.7192|#FFC18C|0.139|gaia-4266833409083493120|Gaia DR3 4266833409083493120
18.570164|17.006761|212.8823|#FFCB98|0.394|gaia-4511856650458081152|Gaia DR3 4511856650458081152
18.312266|11.181008|213.0453|#FFAB72|0.12|gaia-4483746025089641984|Gaia DR3 4483746025089641984
