# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (0, -1, -4), generated 2026-09-08.
# 547 points.
18.50456|-1.118888|302.8362|#FFB881|0.128|gaia-4272032381094205056|Gaia DR3 4272032381094205056
18.299518|-3.486238|303.5537|#FFC48F|0.284|gaia-4269795115466907904|Gaia DR3 4269795115466907904
18.044239|-2.605577|303.9125|#FFE8CB|0.545|gaia-4177960983720134272|Gaia DR3 4177960983720134272
18.534604|-4.132127|303.9777|#FFD9AE|0.48|gaia-4257682547467630464|Gaia DR3 4257682547467630464
18.504556|-1.118621|304.5648|#FFB780|0.124|gaia-4272032381099740672|Gaia DR3 4272032381099740672
18.211275|-8.078184|304.5974|#FFB780|0.124|gaia-4158968702771313536|Gaia DR3 4158968702771313536
18.066337|-7.532441|304.6301|#FFB077|0.12|gaia-4171188816726302080|Gaia DR3 4171188816726302080
18.463767|-2.886558|305.0867|#FFC692|0.32|gaia-4270085386521926272|Gaia DR3 4270085386521926272
18.274771|-1.15398|305.3802|#FFC48F|0.283|gaia-4274104926159184512|Gaia DR3 4274104926159184512
18.21527|-1.980077|305.6085|#FFC28D|0.267|gaia-4273953708949083264|Gaia DR3 4273953708949083264
18.098759|-10.711454|305.9673|#D8D4C8|0.12|gaia-4157950628011002880|Gaia DR3 4157950628011002880
18.406843|-5.968342|305.9673|#FFB982|0.165|gaia-4160988368188958080|Gaia DR3 4160988368188958080
18.382111|-9.738333|305.9999|#FFBE88|0.238|gaia-4154564991210614400|Gaia DR3 4154564991210614400
18.597214|-1.004121|306.1956|#FFD7AB|0.508|gaia-4271928438590799104|Gaia DR3 4271928438590799104
18.294073|-7.109633|306.2608|#FFE4C3|0.12|gaia-4160436344631470848|Gaia DR3 4160436344631470848
18.265506|-11.017684|306.6522|#FFF2E3|0.73|gaia-4153998291730345088|HD 167496
18.385389|-1.404596|306.8479|#FFB179|0.12|gaia-4271223582919417728|Gaia DR3 4271223582919417728
18.736315|-3.213897|307.011|#FFE8CB|0.554|gaia-4258601159382525056|HD 173199
18.529792|-3.892487|307.3372|#FFC48F|0.265|gaia-4257884174707312896|Gaia DR3 4257884174707312896
18.736294|-3.21513|307.4024|#FFEACE|0.565|gaia-4258601159382524288|BD-03 4365B
18.425525|-9.120242|307.5655|#FFB57E|0.12|gaia-4156113722070325632|Gaia DR3 4156113722070325632
18.076593|-6.912033|307.6633|#FFC18B|0.306|gaia-4171340824218426240|Gaia DR3 4171340824218426240
18.125724|-6.312926|307.7612|#FFBF8A|0.2|gaia-4172889074036429184|Gaia DR3 4172889074036429184
18.13676|-5.137391|307.7612|#FFB178|0.12|gaia-4173859874067135104|Gaia DR3 4173859874067135104
18.159478|-5.967166|307.859|#FFCA97|0.369|gaia-4172922437343805952|Gaia DR3 4172922437343805952
18.3682|-0.421759|307.8916|#FFF4E8|0.636|gaia-4271635388687684608|BD-00 3468
18.481292|-0.38708|307.8916|#FFC38F|0.271|gaia-4272904946658046592|Gaia DR3 4272904946658046592
18.740096|-2.201404|307.9895|#FFC48F|0.287|gaia-4259860061527407616|Gaia DR3 4259860061527407616
18.299979|-8.759803|308.0873|#FFBC86|0.143|gaia-4157877235626045824|Gaia DR3 4157877235626045824
18.690139|-7.129005|308.283|#FFBD88|0.213|gaia-4252750825497541888|Gaia DR3 4252750825497541888
18.043513|-10.414624|308.3482|#FFCF9E|0.127|gaia-4152030101511987328|Gaia DR3 4152030101511987328
18.378095|-1.970243|308.5439|#FFB27A|0.12|gaia-4271130987718090624|Gaia DR3 4271130987718090624
18.172561|-13.303466|308.6092|#FFBF8A|0.166|gaia-4147579342844718848|Gaia DR3 4147579342844718848
18.368811|-6.02548|308.6744|#FFEEDA|0.604|gaia-4161090863288462464|BD-06 4745
18.119497|-0.374874|308.8049|#FFB780|0.12|gaia-4275110979301779968|Gaia DR3 4275110979301779968
18.338988|-0.959307|309.0332|#FFB780|0.12|gaia-4271498838784315136|Gaia DR3 4271498838784315136
18.481292|-0.388391|309.131|#FFE5C5|0.533|gaia-4272904946658046208|TYC 5099-341-1
18.273295|-2.989374|309.3593|#FFC18C|0.266|gaia-4270621020488086400|Gaia DR3 4270621020488086400
18.429362|-2.971021|309.3593|#FFBA83|0.12|gaia-4270068687689258880|Gaia DR3 4270068687689258880
18.752357|-0.294281|309.4246|#FFBB84|0.157|gaia-4260384670318964736|Gaia DR3 4260384670318964736
18.044934|-6.276538|309.4572|#FFBF8A|0.225|gaia-4172183393722739968|Gaia DR3 4172183393722739968
18.305589|-7.999537|309.555|#FFB780|0.12|gaia-4160236272187498240|Gaia DR3 4160236272187498240
18.166812|-13.204965|309.7181|#FFD0A0|0.409|gaia-4147595904238487168|Gaia DR3 4147595904238487168
18.12285|-8.496502|309.8159|#FFB67F|0.12|gaia-4158867311487604096|Gaia DR3 4158867311487604096
18.166838|-13.20316|309.8159|#FFBF89|0.194|gaia-4147595908558480256|Gaia DR3 4147595908558480256
18.645442|-5.328733|309.8159|#FFB27A|0.12|gaia-4256550806407640960|Gaia DR3 4256550806407640960
