# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (-1, -1, 3), generated 2026-09-08.
# 527 points.
6.043905|-0.466407|300.2269|#FEF4EB|0.654|gaia-3122406933173135616|HD 291092
6.037657|-5.363761|301.5968|#FFBF8A|0.239|gaia-3019570576997646592|Gaia DR3 3019570576997646592
6.142341|-5.587123|302.5427|#FFBA83|0.12|gaia-3020077997317723008|Gaia DR3 3020077997317723008
6.335417|-0.127775|302.8362|#FFECD4|0.573|gaia-3121728603218259200|HD 291529
6.1399|-6.842161|302.9667|#FFBB85|0.12|gaia-3018247692709989504|Gaia DR3 3018247692709989504
6.150483|-7.275275|303.8799|#FFBC86|0.126|gaia-3018169352506749824|Gaia DR3 3018169352506749824
6.51171|-5.785213|304.3365|#FFBE88|0.212|gaia-3103373459187217792|Gaia DR3 3103373459187217792
6.420209|-2.745028|304.4017|#FFDBB1|0.492|gaia-3117343514628519040|Gaia DR3 3117343514628519040
6.51162|-5.784188|304.4996|#FFCC9A|0.382|gaia-3103373463482776064|Gaia DR3 3103373463482776064
6.548471|-3.72574|304.9236|#FFB37B|0.12|gaia-3104988607407527168|Gaia DR3 3104988607407527168
6.233336|-8.642996|305.1845|#FFB982|0.161|gaia-3005757309338374272|Gaia DR3 3005757309338374272
6.25921|-0.54738|305.3802|#FFB983|0.12|gaia-3121654493560351872|Gaia DR3 3121654493560351872
6.212747|-6.66271|305.6738|#F4F1FF|0.12|gaia-3019706156227649152|Gaia DR3 3019706156227649152
6.576691|-7.335922|306.0325|#FFE2BF|0.518|gaia-3099960098355483776|Gaia DR3 3099960098355483776
6.13025|-9.976975|306.0651|#FFC28C|0.212|gaia-3005186009968357120|Gaia DR3 3005186009968357120
6.173764|-2.118992|306.2935|#FFBD87|0.16|gaia-3121014165477387520|Gaia DR3 3121014165477387520
6.21284|-5.877628|306.3913|#FFB27A|0.12|gaia-3019902831370541568|Gaia DR3 3019902831370541568
6.008258|-7.740873|306.587|#FFBD87|0.165|gaia-3017892962770953600|Gaia DR3 3017892962770953600
6.364664|-6.543021|306.7175|#FFBB85|0.134|gaia-3007927573493846272|Gaia DR3 3007927573493846272
6.233452|-1.442524|307.0436|#FFB881|0.12|gaia-3121162148572362624|Gaia DR3 3121162148572362624
6.275413|-5.074682|307.1088|#FFAF76|0.12|gaia-3020353493700426624|2MASS J06163151-0504287
6.313485|-7.65719|307.1088|#FFE5C5|0.526|gaia-3007342976904857472|Gaia DR3 3007342976904857472
6.04444|-10.092673|307.1415|#FFC08B|0.202|gaia-3005309941247399296|Gaia DR3 3005309941247399296
6.46187|-5.931667|307.1741|#FFD4A6|0.443|gaia-3008030549628280576|Gaia DR3 3008030549628280576
6.295347|-4.238929|307.3698|#FFF2E4|0.658|gaia-3020702524218932224|BD-04 1444
6.26921|-4.167391|307.6959|#FFB780|0.179|gaia-3020734478775336704|Gaia DR3 3020734478775336704
6.47497|-9.758271|307.9242|#FDF3EC|0.667|gaia-3002909707365664640|HD 45676
6.400117|-6.504188|308.2178|#FFBD87|0.182|gaia-3007904037070717184|Gaia DR3 3007904037070717184
6.401281|-0.947173|308.2178|#F9F2F6|0.12|gaia-3118424948738692352|SDSS J062404.57-005648.3
