# Asendra sky points, format 1
# ra_hours|dec_degrees|distance_light_years|color|brightness[|id|name]
# Gaia Catalogue of Nearby Stars, sector (3, -1, 1), generated 2026-09-08.
# 140 points.
1.2298|-7.00382|320.4813|#FFBE89|0.204|gaia-2475722026766933248|Gaia DR3 2475722026766933248
1.287623|-5.590313|321.2966|#FFB47C|0.12|gaia-2481977320215788800|Gaia DR3 2481977320215788800
1.309132|-8.587654|322.3403|#FFC18C|0.245|gaia-2472046767416870400|Gaia DR3 2472046767416870400
1.380921|-4.105411|322.3403|#FFBA83|0.192|gaia-2482566624088605696|Gaia DR3 2482566624088605696
1.339632|-5.406318|323.0579|#FFB37C|0.12|gaia-2481955119529368960|Gaia DR3 2481955119529368960
1.298569|-7.576307|323.5797|#FFC38F|0.221|gaia-2472459741407562368|Gaia DR3 2472459741407562368
1.367697|-1.078326|323.5797|#FFC28D|0.206|gaia-2533523456118083712|Gaia DR3 2533523456118083712
1.238174|-11.210598|323.6124|#FFB47D|0.12|gaia-2469027096170047744|Gaia DR3 2469027096170047744
1.47954|-0.045555|324.6887|#FFC28D|0.25|gaia-2534021328727006080|Gaia DR3 2534021328727006080
1.39235|-7.832001|324.7213|#FFC08B|0.246|gaia-2478186410281742592|UCAC4 411-001572
1.351397|-4.962522|325.2758|#FFB881|0.12|gaia-2482358949534730368|Gaia DR3 2482358949534730368
1.3635|-10.188141|325.4714|#FFB37B|0.12|gaia-2470881044572769792|LP 707-67
1.448021|-2.611899|325.5693|#D8D4C8|0.12|gaia-2485029667573735680|Gaia DR3 2485029667573735680
1.428955|-7.931228|325.8955|#FFB27A|0.12|gaia-2478145998937292800|Gaia DR3 2478145998937292800
1.431231|-3.927504|326.2542|#FFD8AC|0.917|gaia-2482538517822679296|Gaia DR3 2482538517822679296
1.386175|-4.684594|326.3195|#FFEED9|0.12|gaia-2482390388697394560|GALEX J012309.8-044103
1.302873|-1.936774|326.5478|#A9C0FF|0.12|gaia-2533306985471073920|Gaia DR3 2533306985471073920
1.34417|-9.705583|327.7872|#FFB67E|0.12|gaia-2471143209376622080|Gaia DR3 2471143209376622080
1.39277|-3.300018|327.885|#FFBB85|0.202|gaia-2484883668750256640|Gaia DR3 2484883668750256640
1.333362|-7.3468|327.9502|#FFB178|0.12|gaia-2478462525139266560|Gaia DR3 2478462525139266560
1.210282|-11.787244|328.0481|#FFB780|0.129|gaia-2468976316772259968|Gaia DR3 2468976316772259968
1.334349|-9.972985|328.5699|#FFBA83|0.187|gaia-2470716087765124608|Gaia DR3 2470716087765124608
1.384284|-0.619717|328.7004|#FFC08A|0.229|gaia-2533916600244469120|Gaia DR3 2533916600244469120
1.589045|-0.733357|328.7982|#FFBA83|0.176|gaia-2509662610686451200|Gaia DR3 2509662610686451200
1.384331|-0.619194|328.9613|#FFB881|0.12|gaia-2533916600244468992|Gaia DR3 2533916600244468992
1.45026|-11.276628|329.4506|#FFAC73|0.12|gaia-2458688972449184640|Gaia DR3 2458688972449184640
1.421546|-3.463743|329.581|#FFC38E|0.262|gaia-2484118172434206080|Gaia DR3 2484118172434206080
1.317293|-8.43026|329.7115|#FFBD87|0.178|gaia-2472146621111661824|Gaia DR3 2472146621111661824
1.3203|-7.796099|330.005|#FFBA84|0.12|gaia-2472393255313859200|Gaia DR3 2472393255313859200
1.60643|-2.796643|330.5921|#FFB881|0.12|gaia-2484412699816342912|Gaia DR3 2484412699816342912
1.274195|-2.829296|331.3096|#FFB078|0.12|gaia-2531729839119962112|Gaia DR3 2531729839119962112
1.384266|-14.103082|331.4401|#FFB881|0.12|gaia-2455518157009811328|Gaia DR3 2455518157009811328
1.544881|-1.644691|331.5053|#FFEACF|0.53|gaia-2485569940099274240|Gaia DR3 2485569940099274240
1.185468|-7.357629|331.7663|#FFE9CD|0.12|gaia-2475589703118999040|Gaia DR3 2475589703118999040
1.254172|-7.958678|331.8641|#FFB47C|0.12|gaia-2472326528701739392|Gaia DR3 2472326528701739392
1.250208|-6.781442|331.9293|#FFB67F|0.12|gaia-2475563005602259968|Gaia DR3 2475563005602259968
1.408742|-10.889584|332.2881|#FFE2BE|0.12|gaia-2458400904698281856|Gaia DR3 2458400904698281856
1.291124|-1.491971|332.4838|#FFB47C|0.12|gaia-2533403742494551424|Gaia DR3 2533403742494551424
1.220233|-16.293339|332.6795|#FFEBD0|0.12|gaia-2358725360981554176|Gaia DR3 2358725360981554176
1.650524|-6.533977|332.7774|#FFEED9|0.12|gaia-2479326530825878912|Gaia DR3 2479326530825878912
1.18415|-3.54328|332.8426|#FFB67F|0.12|gaia-2531223307857060096|Gaia DR3 2531223307857060096
1.592276|-7.093344|333.7884|#FFB37B|0.12|gaia-2477966301797198848|Gaia DR3 2477966301797198848
1.411061|-6.91408|333.8863|#FFAF76|0.12|gaia-2478541410803378816|Gaia DR3 2478541410803378816
1.442908|-8.677546|334.506|#E9EBFF|0.12|gaia-2477282538708615680|Gaia DR3 2477282538708615680
1.540288|-4.731455|335.3866|#FFB37B|0.12|gaia-2480722463915609984|Gaia DR3 2480722463915609984
1.354272|-4.3005|335.7128|#FFECD3|0.12|gaia-2482466014479519232|Gaia DR3 2482466014479519232
1.47359|-8.382015|336.2672|#FFE2BE|0.12|gaia-2477317211980446208|Gaia DR3 2477317211980446208
1.617197|-3.28712|336.6586|#FEF4EB|0.737|gaia-2481307442756528640|Gaia DR3 2481307442756528640
1.631637|-13.065171|338.8112|#FFAD74|0.12|gaia-2454291888011106176|Gaia DR3 2454291888011106176
1.213142|-11.445207|339.17|#FFB37B|0.12|gaia-2469039538691476736|Gaia DR3 2469039538691476736
1.425232|-1.555335|339.3005|#FFB67E|0.12|gaia-2485352954057071872|Gaia DR3 2485352954057071872
